"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"0621t","","","116","SF","Peyton Watson","CLE","",""
"06cac","","","116","SG","Cason Wallace","OKC","",""
"03ams","","","117","SG","Zach LaVine","SAC","",""
"031lx","","","117","PG","CJ McCollum","ATL","",""
"06mjv","","","118","PG","Reed Sheppard","HOU","",""
"05uic","","","119","SG","Jalen Green","PHO","",""
"06cc7","","","121","SG","Brandin Podziemski","GS","",""
"03e6n","","","121","C","Jusuf Nurkic","UTA","",""
"06mkg","","","122","SG","Kyshawn George","WAS","",""
"051oj","","","125","SF","RJ Barrett","TOR","",""
"06cbx","","","126","SF","Jaime Jaquez","MIL","",""
"042n6","","","127","C","Jakob Poeltl","TOR","",""
"06v88","","","130","C","Maxime Raynaud","SAC","",""
"06v5r","","","130","PG","Egor Demin","BKN","",""
"05qt0","","","131","SF","Saddiq Bey","NO","",""
"05ujs","","","133","PF","Sandro Mamukelashvili","LAL","",""
"06cc5","","","134","PG","Anthony Black","ORL","",""
"06v5g","","","135","PG","Jeremiah Fears","NO","",""
"051os","","","135","PF","P.J. Washington","DAL","",""
"0621u","","","135","SG","Andrew Nembhard","IND","",""
"076t6","","","135","PG","Darius Acuff","SAC","",""
"0621g","","","138","PF","Tari Eason","HOU","",""
"06v57","","","139","SF","Ace Bailey","UTA","",""
"0623e","","","140","PG","Collin Gillespie","PHO","",""
"01eon","","","141","SF","DeMar DeRozan","DEN","",""
"03al0","","","144","PF","Aaron Gordon","DEN","",""
"05uij","","","152","PG","Davion Mitchell","MIA","",""
"05qst","","","152","C","Paul Reed","DET","",""
"05qtq","","","154","PG","Tre Jones","CHI","",""
"05qtr","","","157","SG","Devin Vassell","SA","",""
"04qry","","","158","SG","Grayson Allen","CHA","",""
"05uiz","","","162","SG","Quentin Grimes","LAL","",""
"06226","","","166","C","Moussa Diabate","CHA","",""
"06215","","","167","SF","Bennedict Mathurin","NO","",""
"06mlq","","","169","SG","Pelle Larsson","MIA","",""
"06216","","","170","SG","Shaedon Sharpe","POR","",""
"01eo9","","","172","PG","Jrue Holiday","POR","",""
"04qrl","","","173","C","Wendell Carter","ORL","",""
"04ex8","","","174","SF","Dillon Brooks","PHO","",""
"02nfz","","","177","PF","Draymond Green","GS","",""
"051or","","","178","PF","Cameron Johnson","DEN","",""
"076sx","","","178","SF","Yaxel Lendeborg","GS","",""
"027p4","","","180","PF","Tobias Harris","SA","",""
"076tk","","","184","PG","Mikel Brown","BKN","",""
"04qsd","","","186","C","Mitchell Robinson","BOS","",""
"0621k","","","186","SG","Christian Braun","DEN","",""
"0622i","","","191","PF","Gui Santos","GS","",""
"06v5m","","","192","PF","Joan Beringer","MIN","",""
"06v5f","","","195","C","Khaman Maluach","PHO","",""
"06cc1","","","195","SF","Bilal Coulibaly","WAS","",""
"0623a","","","196","PG","Scotty Pippen","MEM","",""
"027p0","","","200","C","Nikola Vucevic","ORL","",""
"06mle","","","203","C","Kyle Filipowski","UTA","",""
"05uj9","","","207","SF","Herbert Jones","NO","",""
"027pe","","","208","SF","Jimmy Butler","GS","",""
"06cc8","","","210","C","Dereck Lively","DAL","",""
"076sy","","","211","PF","Morez Johnson","DAL","",""
"03aq2","","","213","PF","Jerami Grant","MEM","",""
"005ki","","","214","C","Brook Lopez","LAC","",""
"06v5w","","","216","SG","Nique Clifford","SAC","",""
"049kd","","","217","C","Deandre Ayton","WAS","",""
"05qt4","","","219","SF","Aaron Nesmith","IND","",""
"05qub","","","219","C","Isaiah Stewart","MEM","",""
"06mlz","","","220","SG","Cam Spencer","MEM","",""
"03nwn","","","220","PF","Bobby Portis","MIA","",""
"04qrm","","","222","SG","Collin Sexton","LAL","",""
"076tc","","","225","SG","Keaton Wagler","LAC","",""
"04qru","","","226","SG","Donte DiVincenzo","MIN","",""
"04qsm","","","226","PG","De'Anthony Melton","GS","",""
"0623m","","","228","SG","Keon Ellis","BKN","",""
"062dn","","","228","SF","Julian Champagnie","SA","",""
"051pi","","","228","C","Daniel Gafford","DAL","",""
"05uup","","","228","C","Jay Huff","IND","",""
"06mkc","","","229","SG","Jaylon Tyson","CLE","",""
"06mkd","","","229","C","Yves Missi","NO","",""
"06cdn","","","230","PG","Scoot Henderson","POR","",""
"076tl","","","231","SG","Brayden Burries","MIL","",""
"05qzh","","","231","SF","Naji Marshall","DAL","",""
"06ccd","","","232","PF","Noah Clowney","BKN","",""
"05uj4","","","232","PF","Santi Aldama","DAL","",""
"076ti","","","233","PF","Hannes Steinbach","CHA","",""
"03nwk","","","234","SF","Kelly Oubre Jr.","IND","",""
"04ewr","","","234","PF","Kyle Kuzma","MIL","",""
"06v80","","","234","C","Ryan Kalkbrenner","CHA","",""
"04qs4","","","235","C","Robert Williams","POR","",""
"06mkl","","","236","PG","Isaiah Collier","UTA","",""
"05ujt","","","237","SG","Aaron Wiggins","ATL","",""
"0621y","","","237","SG","Max Christie","DAL","",""
"06mjt","","","238","SF","Zaccharie Risacher","DAL","",""
"05qsp","","","238","SG","Isaiah Joe","DET","",""
"06mjx","","","238","SF","Ron Holland","DET","",""
"05uih","","","239","PF","Jonathan Kuminga","MIN","",""
"051p8","","","239","SG","Jordan Poole","NO","",""
"051op","","","239","PF","Rui Hachimura","LAC","",""
"051p9","","","240","SF","Keldon Johnson","SA","",""
"05qtm","","","240","C","Precious Achiuwa","SAC","",""
"05qtb","","","240","SG","Sam Merrill","CLE","",""
"076te","","","240","PG","Kingston Flemings","ATL","",""
"06v58","","","240","SG","Tre Johnson","WAS","",""
"04qs1","","","241","SG","Anfernee Simons","PHI","",""
"0621i","","","241","PF","Jake LaRavia","LAL","",""
"0558t","","","241","SF","Max Strus","LAC","",""
"031mb","","","241","SG","Tim Hardaway","MIA","",""
"06mkj","","","242","SG","Terrence Shannon","MIN","",""
"042n2","","","242","PG","Kris Dunn","LAC","",""
"04s00","","","242","SF","Duncan Robinson","DET","",""
"06mk8","","","242","SG","Jared McCain","OKC","",""
"06cc0","","","242","PF","Taylor Hendricks","MEM","",""
"051ok","","","242","SF","De'Andre Hunter","SAC","",""
"06cbz","","","242","SF","Brice Sensabaugh","UTA","",""
"049kc","","","242","SG","Malik Monk","SAC","",""
"06v56","","","242","PG","Walter Clayton","MEM","",""
"06234","","","242","SG","AJ Green","MIL","",""
"06mmf","","","242","PG","Daniss Jenkins","DET","",""
"02nf3","","","242","SG","Bradley Beal","LAC","",""
"06mk6","","","242","PG","Carlton Carrington","WAS","",""
"06v5q","","","242","PF","Danny Wolf","BKN","",""
"05uja","","","243","PG","Miles McBride","NY","",""
"043cj","","","243","SG","Gary Payton II","GS","",""
"06cdh","","","243","PF","GG Jackson","MEM","",""
"06mll","","","243","SG","Jaylen Wells","MEM","",""
"0621a","","","243","C","Ousmane Dieng","MIL","",""
"06hdy","","","243","PF","Drew Peterson","(N/A)","",""
"031m4","","","243","PG","Dennis Schroder","CHA","",""
"06v59","","","243","SF","Will Riley","WAS","",""
"06cei","","","243","SF","Leonard Miller","CHI","",""
"03al1","","","243","PG","Marcus Smart","HOU","",""
"06v5b","","","243","C","Yanic Konan Niederhauser","LAC","",""
"076t2","","","243","SG","Cameron Carr","LAL","",""
"05qty","","","243","C","Jalen Smith","CHI","",""
"048zt","","","243","SF","Derrick Jones","LAC","",""
"06mln","","","243","C","Adem Bona","PHI","",""
"06y2o","","","243","C","Dylan Cardwell","SAC","",""
"005kc","","","243","PG","Russell Westbrook","(N/A)","",""
"0496e","","","243","SG","Alex Caruso","OKC","",""
"076tb","","","243","PF","Allen Graves","TOR","",""
"05wqo","","","243","SG","Dru Smith","MIA","",""
"0622f","","","243","PF","Karlo Matkovic","NO","",""
"06mkb","","","243","SG","Ja'Kobe Walter","TOR","",""
"02nf9","","","243","C","Andre Drummond","NY","",""
"0527l","","","243","SF","Luguentz Dort","ATL","",""
"06cp4","","","243","PG","Craig Porter","CLE","",""
"06mlm","","","244","PF","Oso Ighodaro","PHO","",""
"000zv","","","244","C","Al Horford","GS","",""
"027ou","","","244","SF","Klay Thompson","MIA","",""
"0621x","","","244","PF","Jaylin Williams","OKC","",""
"05uiw","","","244","C","Isaiah Jackson","LAC","",""
"049ki","","","244","PF","Marvin Bagley","DEN","",""
"04jwb","","","244","C","Luke Kornet","SA","",""
"04jwd","","","244","SF","Royce O'Neale","CHA","",""
"031lv","","","244","SG","Kentavious Caldwell-Pope","PHI","",""
"076su","","","244","C","Aday Mara","OKC","",""
"05qsx","","","244","PF","Obi Toppin","IND","",""
"04qs2","","","244","C","Moritz Wagner","BKN","",""
"02ng3","","","244","SF","Khris Middleton","WAS","",""
"05qsk","","","244","SG","Isaac Okoro","CHI","",""
"03wr4","","","244","PG","T.J. McConnell","IND","",""
"03r7d","","","244","PF","Mario Hezonja","CLE","",""
"051p0","","","244","SG","Matisse Thybulle","LAL","",""
"06cc9","","","244","PF","Olivier-Maxence Prosper","MEM","",""
"06cab","","","244","PF","Jarace Walker","IND","",""
"05ux3","","","244","PG","Jordan Goodwin","PHO","",""
"06mlr","","","244","PG","Jamal Shead","TOR","",""
"05uul","","","244","PG","Jose Alvarado","NY","",""
"06mly","","","244","C","Quinten Post","MEM","",""
"06mkm","","","244","SG","Baylor Scheierman","BOS","",""
"0621q","","","244","PF","Nikola Jovic","MIA","",""
"05uug","","","244","PF","Sam Hauser","BOS","",""
