Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Javon Small",MEM,21,11,2,9,2,0,3,3,4,6,0,0,66.7,,1.16,0.00,5.54
2,"Darryn Peterson",UTAH,27,28,5,2,0,2,8,4,11,21,2,3,52.4,66.7,1.05,-0.04,4.77
3,"Taylor Hendricks",MEM,12,15,4,3,1,0,1,2,5,6,2,3,83.3,66.7,2.16,-0.04,4.00
4,"Carson Cooper",MEM,19,11,5,3,0,1,0,1,5,6,0,0,83.3,,2.16,0.00,3.89
5,"Bennett Stirtz",OKC,24,10,3,4,3,0,2,2,3,6,1,1,50.0,100.0,0.16,0.32,3.81
6,"Olivier-Maxence Prosper",MEM,23,17,5,3,0,0,2,2,5,8,2,2,62.5,100.0,1.21,0.64,3.81
7,"Jahmai Mashack",MEM,22,12,2,4,1,2,2,1,4,6,2,3,66.7,66.7,1.16,-0.04,3.80
8,"Kingston Flemings",ATL,28,14,1,9,4,0,1,2,4,16,2,4,25.0,50.0,-3.58,-0.72,2.95
9,"Keshon Gilbert",ATL,20,12,1,2,2,1,1,2,5,7,0,1,71.4,0.0,1.68,-0.68,2.61
10,"Justin Harmon",UTAH,16,15,3,0,3,0,3,0,7,8,1,1,87.5,100.0,3.21,0.32,2.59
11,"Gabe Madsen",ATL,27,15,4,2,3,0,4,3,6,14,0,0,42.9,,-0.63,0.00,2.55
12,"Cody Williams",UTAH,34,17,5,1,1,2,6,1,8,13,0,0,61.5,,1.84,0.00,2.52
13,"Max Abmas",UTAH,25,15,2,6,0,0,3,0,3,8,6,6,37.5,100.0,-0.79,1.92,2.51
14,"Zuby Ejiofor",ATL,28,8,11,2,3,0,4,0,2,7,2,2,28.6,100.0,-1.32,0.64,2.04
15,"Ace Bailey",UTAH,20,10,6,0,1,1,1,0,4,8,1,1,50.0,100.0,0.21,0.32,1.28
16,"Aday Mara",OKC,22,10,3,4,1,2,3,0,5,8,0,1,62.5,0.0,1.21,-0.68,1.13
17,"RayJ Dennis",ATL,12,13,1,3,1,0,2,3,4,11,1,1,36.4,100.0,-1.21,0.32,1.06
18,"Cedric Coward",MEM,25,11,8,0,1,2,4,3,3,12,1,2,25.0,50.0,-2.69,-0.36,1.00
19,"Kylor Kelley",UTAH,27,2,10,3,0,2,2,0,1,1,0,1,100.0,0.0,0.53,-0.68,0.99
20,"Otega Oweh",OKC,25,8,4,2,2,1,3,0,3,7,1,1,42.9,100.0,-0.32,0.32,0.57
21,"Cameron Boozer",MEM,24,15,4,4,0,0,2,1,7,11,0,1,63.6,0.0,1.79,-0.68,0.53
22,"Jacob Toppin",ATL,17,8,8,1,1,0,1,0,3,7,1,1,42.9,100.0,-0.32,0.32,0.40
23,"Asa Newell",ATL,28,15,5,3,1,0,0,1,5,15,3,5,33.3,60.0,-2.11,-0.40,0.21
24,"Christoph Tilly",OKC,20,7,3,1,1,1,0,0,3,6,1,2,50.0,50.0,0.16,-0.36,-0.64
25,"Blake Hinson",UTAH,26,7,3,2,1,0,1,1,3,7,0,0,42.9,,-0.32,0.00,-0.88
26,"Jonas Aidoo",UTAH,15,2,6,3,0,1,2,0,1,2,0,0,50.0,,0.05,0.00,-0.89
27,"Brooks Barnhizer",OKC,20,13,6,1,0,0,1,1,6,12,0,1,50.0,0.0,0.31,-0.68,-1.05
28,"Kobe Johnson",ATL,22,7,2,1,2,1,1,0,3,8,1,2,37.5,50.0,-0.79,-0.36,-1.35
29,"Lawson Lovering",MEM,16,0,6,3,0,1,1,0,0,2,0,0,0.0,,-0.95,0.00,-1.39
30,"Payton Sandfort",OKC,24,13,1,0,0,0,0,2,4,12,1,1,33.3,100.0,-1.69,0.32,-1.44
31,"Henri Veesaar",ATL,18,5,3,1,0,0,0,1,2,4,0,0,50.0,,0.10,0.00,-1.77
32,"Matthew Cleveland",UTAH,14,5,2,0,0,0,0,0,1,2,2,2,50.0,100.0,0.05,0.64,-2.30
33,"Zach Cleveland",MEM,14,2,3,2,0,0,0,0,1,1,0,0,100.0,,0.53,0.00,-2.36
34,"Jestin Porter",MEM,2,5,0,1,0,0,0,0,2,2,1,1,100.0,100.0,1.05,0.32,-2.44
35,"Anthony Pritchard",OKC,10,4,0,1,1,0,1,0,1,3,2,2,33.3,100.0,-0.42,0.64,-2.70
36,"Josh Dix",OKC,20,5,2,1,1,0,2,1,2,6,0,0,33.3,,-0.84,0.00,-3.06
37,"Hayden Gray",UTAH,7,2,0,1,1,0,0,0,1,2,0,0,50.0,,0.05,0.00,-3.37
38,"Isaac McKneely",ATL,10,5,0,0,0,0,0,1,2,4,0,0,50.0,,0.10,0.00,-3.38
39,"Brendan Hausen",MEM,2,3,0,0,0,0,0,1,1,1,0,0,100.0,,0.53,0.00,-3.41
40,"Lamar Wilkerson",OKC,6,2,1,2,0,0,0,0,1,2,0,0,50.0,,0.05,0.00,-3.46
41,"Tyler Burton",MEM,17,9,6,1,0,0,3,3,3,9,0,2,33.3,0.0,-1.26,-1.36,-3.64
42,"Steven Ashworth",OKC,14,2,1,3,0,0,1,0,1,4,0,0,25.0,,-0.90,0.00,-4.25
43,"Nate Johnson",OKC,15,0,0,2,1,0,0,0,0,5,0,0,0.0,,-2.37,0.00,-5.01
44,"Jevon Porter",MEM,2,0,0,0,0,0,1,0,0,0,0,0,,,0.00,0.00,-5.78
