Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Kobe Johnson",ATL,23,30,7,4,2,1,2,4,11,18,2,2,61.1,100.0,3.50,0.65,12.67
2,"Khaman Maluach",PHX,27,21,10,2,1,4,1,1,5,10,6,6,50.0,100.0,0.83,1.96,12.05
3,"Meleek Thomas",CLE,30,35,3,3,2,1,3,5,14,23,1,1,60.9,100.0,4.42,0.33,11.57
4,"Brayden Burries",MIL,29,23,8,6,4,1,1,3,8,15,3,7,53.3,42.9,1.75,-1.71,10.07
5,"Donovan Williams",MIN,24,21,2,2,1,1,1,2,5,8,6,6,62.5,100.0,1.67,1.96,7.47
6,"Sergio de Larrea",DAL,30,16,1,12,0,1,4,2,3,7,6,6,42.9,100.0,0.08,1.96,7.45
7,"Liam Robbins",NY,24,15,5,3,2,4,2,1,6,13,1,1,46.2,100.0,0.58,0.33,7.43
8,"Chaz Lanier",DET,33,24,0,2,1,0,2,8,8,13,0,0,61.5,,2.58,0.00,7.41
9,"Seth Lundy",TOR,26,22,1,1,2,1,1,4,8,13,1,1,61.5,100.0,2.58,0.33,7.28
10,"Darin Green Jr.",DAL,24,18,3,5,2,0,2,5,6,10,1,2,60.0,50.0,1.83,-0.35,6.95
11,"Rienk Mast",IND,25,23,10,0,0,1,1,3,8,14,2,3,57.1,66.7,2.17,-0.02,6.53
12,"Allen Graves",TOR,26,13,5,6,4,0,3,3,5,12,0,0,41.7,,0.00,0.00,6.45
13,"Zyon Pullin",MIN,28,16,4,10,2,0,2,1,4,11,5,7,36.4,71.4,-0.58,0.29,6.01
14,"Quincy Olivari",POR,22,11,7,4,2,0,0,3,4,10,0,0,40.0,,-0.17,0.00,5.90
15,"Yang Hansen",POR,21,18,10,5,0,0,4,0,7,8,2,2,87.5,100.0,3.67,0.65,5.29
16,"Matthew Cleveland",UTAH,25,13,5,3,1,0,0,1,4,6,3,3,66.7,100.0,1.50,0.98,5.26
17,"Brandon Boston Jr.",MIL,21,17,1,2,0,2,1,3,5,8,2,2,62.5,100.0,1.67,0.65,5.24
18,"Henri Veesaar",ATL,23,20,4,3,1,1,3,4,7,12,1,2,58.3,50.0,2.00,-0.35,5.19
19,"Ernest Udeh Jr.",CLE,20,8,7,3,0,4,0,0,4,6,0,1,66.7,0.0,1.50,-0.67,5.02
20,"Chris Youngblood",POR,19,20,5,3,0,0,2,3,5,11,4,4,45.5,100.0,0.42,1.31,4.96
21,"Gabe McGlothan",IND,18,16,6,0,2,0,1,2,3,4,4,5,75.0,80.0,1.33,0.63,4.73
22,"Cameron Boozer",MEM,29,21,8,3,3,0,3,2,7,17,3,5,41.2,60.0,-0.08,-0.37,4.68
23,"Jorge Diaz Graham",DAL,29,11,10,1,2,1,2,2,4,10,1,1,40.0,100.0,-0.17,0.33,4.67
24,"Jonas Aidoo",UTAH,22,17,11,0,1,3,4,0,6,11,3,4,54.5,75.0,1.42,0.31,4.61
25,"Koby Brea",PHX,28,19,1,2,1,0,1,6,6,12,1,2,50.0,50.0,1.00,-0.35,4.60
26,"Bogoljub Markovic",MIL,27,16,8,1,0,1,2,4,5,8,1,2,62.5,50.0,1.67,-0.35,4.46
27,"Darius Brown II",PHX,19,14,2,5,1,0,3,4,4,6,1,1,66.7,100.0,1.50,0.33,4.37
28,"Jack Kayil",NY,29,19,1,4,3,0,3,3,6,13,2,3,46.2,66.7,0.58,-0.02,4.20
29,"Jaylin Sellers",CHI,32,13,4,2,1,2,1,2,4,12,2,2,33.3,100.0,-1.00,0.65,4.01
30,"Koa Peat",PHX,26,19,6,1,2,0,2,0,8,15,2,2,53.3,100.0,1.75,0.65,3.84
31,"Dillon Jones",NY,29,18,6,4,1,0,3,2,7,15,1,1,46.7,100.0,0.75,0.33,3.81
32,"Jaxson Robinson",CLE,24,13,6,1,2,0,0,3,4,13,1,1,30.8,100.0,-1.42,0.33,3.77
33,"Devon Higgs",ATL,23,12,3,1,2,2,1,0,5,9,1,1,55.6,100.0,1.25,0.33,3.66
34,"J'Vonne Hadley",MIA,29,10,5,1,1,1,0,2,3,7,1,1,42.9,100.0,0.08,0.33,3.40
35,"Tre Donaldson",MIA,33,22,4,3,1,0,2,1,10,18,1,2,55.6,50.0,2.50,-0.35,3.37
36,"Cameron Corhen",ATL,17,10,2,3,2,0,0,0,3,4,2,2,75.0,100.0,1.33,0.65,3.37
37,"Nick Jourdain",NY,27,10,8,2,1,0,1,1,2,6,3,3,33.3,100.0,-0.50,0.98,3.13
38,"Orlando Robinson",UTAH,18,14,9,1,0,2,1,0,3,9,4,5,33.3,80.0,-0.75,0.63,3.10
39,"Olivier-Maxence Prosper",MEM,25,18,5,2,1,0,1,4,7,14,0,2,50.0,0.0,1.17,-1.35,2.97
40,"Caleb Wilson",CHI,29,19,8,2,2,5,4,3,8,17,0,6,47.1,0.0,0.92,-4.04,2.92
41,"Kaodirichi Akobundu-Ehiogu",DAL,22,16,4,0,0,2,1,0,7,8,1,2,87.5,50.0,3.67,-0.35,2.81
42,"Trey Alexander",UTAH,24,2,6,3,6,1,1,0,0,5,1,3,0.0,33.3,-2.08,-1.02,2.72
43,"Jalen Warley",IND,18,4,3,1,3,1,0,0,1,2,1,1,50.0,100.0,0.17,0.33,2.41
44,"Jalen Slawson",IND,28,21,8,1,0,2,4,1,6,13,4,6,46.2,66.7,0.58,-0.04,2.20
45,"Nate Bittle",TOR,19,9,6,2,1,1,2,1,4,7,0,0,57.1,,1.08,0.00,2.19
46,"Tyreke Key",TOR,20,16,2,3,0,0,1,0,4,8,4,4,50.0,100.0,0.67,1.31,2.04
47,"Cedric Coward",MEM,27,17,12,4,1,1,5,2,7,23,1,2,30.4,50.0,-2.58,-0.35,1.81
48,"Jamarion Sharp",TOR,16,4,9,3,0,3,2,0,2,4,0,1,50.0,0.0,0.33,-0.67,1.79
49,"Chris Cenac Jr.",BOS,20,16,5,2,0,4,5,0,6,13,2,3,46.2,66.7,0.58,-0.02,1.56
50,"Andrew Carr",POR,14,11,3,0,0,0,0,3,4,6,0,0,66.7,,1.50,0.00,1.55
51,"Jaden Springer",DAL,21,17,1,2,1,1,2,2,5,10,3,5,50.0,60.0,0.83,-0.37,1.51
52,"Jaden Henley",DET,10,7,5,1,2,0,1,0,2,4,2,2,50.0,100.0,0.33,0.65,1.44
53,"Isaiah Wong",ATL,23,9,9,4,0,0,3,1,2,3,2,3,66.7,66.7,0.75,-0.02,1.32
54,"Carson Cooper",MEM,14,6,7,1,0,2,0,0,1,3,2,3,33.3,66.7,-0.25,-0.02,1.32
55,"Trey Kaufman-Renn",MIN,16,10,6,1,1,0,1,0,4,7,1,1,57.1,100.0,1.08,0.33,1.29
56,"Zack Austin",MIL,17,4,1,1,2,3,0,0,1,7,1,1,14.3,100.0,-1.92,0.33,1.18
57,"Nate Kingz",MIA,23,10,3,0,1,2,0,2,4,11,0,1,36.4,0.0,-0.58,-0.67,1.09
58,"Taelon Peter",IND,25,10,2,1,2,0,2,2,4,7,0,0,57.1,,1.08,0.00,1.05
59,"Aliou Diarra",POR,17,10,8,0,0,0,1,0,3,3,3,4,100.0,75.0,1.75,0.31,0.93
60,"Isaac Jones",DET,30,12,8,2,1,1,2,0,4,9,2,4,44.4,50.0,0.25,-0.69,0.89
61,"Xaivian Lee",CLE,14,8,3,3,1,0,1,0,3,5,1,1,60.0,100.0,0.92,0.33,0.89
62,"Rocco Zikarsky",MIN,24,18,6,0,0,0,1,2,8,13,0,2,61.5,0.0,2.58,-1.35,0.85
63,"Kyle Mangas",BOS,12,6,3,2,1,0,0,1,2,5,1,1,40.0,100.0,-0.08,0.33,0.78
64,"Rashaun Agee",CLE,18,6,6,2,0,0,0,0,3,4,0,0,75.0,,1.33,0.00,0.68
65,"Ebuka Okorie",DET,32,14,6,4,1,1,4,0,5,18,3,3,27.8,100.0,-2.50,0.98,0.66
66,"Noa Essengue",CHI,18,6,5,2,2,2,3,0,1,4,2,3,25.0,66.7,-0.67,-0.02,0.60
67,"Isaac McKneely",ATL,26,5,2,5,1,0,0,0,2,7,1,1,28.6,100.0,-0.92,0.33,0.56
68,"Pete Nance",MIL,24,7,3,2,1,0,0,1,3,7,0,0,42.9,,0.08,0.00,0.53
69,"Kobe Knox",ATL,13,3,3,1,0,2,0,1,1,2,0,0,50.0,,0.17,0.00,0.53
70,"Gabe Madsen",ATL,19,8,3,4,0,0,1,2,3,9,0,0,33.3,,-0.75,0.00,0.15
71,"Tucker DeVries",BOS,21,11,1,1,0,0,0,3,4,10,0,0,40.0,,-0.17,0.00,0.13
72,"Malaki Branham",CLE,24,11,4,1,2,0,3,1,5,11,0,0,45.5,,0.42,0.00,-0.05
73,"Milos Uzan",BOS,24,6,5,4,0,0,1,0,1,5,2,2,20.0,100.0,-1.08,0.65,-0.11
74,"Braden Smith",IND,27,0,3,9,2,0,2,0,0,7,0,0,0.0,,-2.92,0.00,-0.12
75,"Donovan Atwell",CHI,13,6,4,1,0,0,0,2,2,5,0,0,40.0,,-0.08,0.00,-0.18
76,"Vsevolod Ishchenko",DAL,32,6,5,4,0,3,3,0,1,7,2,3,14.3,66.7,-1.92,-0.02,-0.20
77,"Steven Crowl",DET,19,5,6,2,0,0,1,1,2,4,0,0,50.0,,0.33,0.00,-0.22
78,"Jaylen Martin",POR,20,14,3,4,2,0,2,1,5,11,1,4,45.5,25.0,0.42,-1.69,-0.27
79,"Caleb Grill",BOS,7,7,0,0,0,1,0,1,2,2,1,1,100.0,100.0,1.17,0.33,-0.28
80,"Nate Ament",MIL,23,8,3,1,0,1,3,2,2,3,1,1,66.7,100.0,0.75,0.33,-0.31
81,"Oziyah Sellers",NY,22,10,7,1,0,0,2,0,5,9,0,0,55.6,,1.25,0.00,-0.47
82,"Hank Morgan",BOS,9,9,1,0,0,0,0,1,3,4,1,1,75.0,100.0,1.33,0.33,-0.53
83,"Corey Camper Jr.",PHX,14,2,8,1,1,0,0,0,1,5,0,0,20.0,,-1.08,0.00,-0.54
84,"Kendall Brown",MIA,20,2,6,2,1,1,2,0,1,3,0,0,33.3,,-0.25,0.00,-0.54
85,"Ian Schieffelin",MIA,11,7,2,0,0,0,0,1,2,4,2,2,50.0,100.0,0.33,0.65,-0.69
86,"Toby Okani",NY,20,3,3,0,2,0,0,1,1,4,0,0,25.0,,-0.67,0.00,-0.70
87,"Javon Small",MEM,29,3,1,4,1,0,0,1,1,6,0,0,16.7,,-1.50,0.00,-0.85
88,"Jahmai Mashack",MEM,19,2,5,4,2,0,2,0,1,3,0,1,33.3,0.0,-0.25,-0.67,-0.90
89,"Kam Jones",MIL,17,7,2,2,0,0,0,0,2,6,2,2,33.3,100.0,-0.50,0.65,-0.95
90,"Tyler Nickel",NY,30,9,6,2,0,0,2,3,3,13,0,0,23.1,,-2.42,0.00,-0.97
91,"Vladislav Goldin",MIA,24,4,8,2,1,3,3,0,0,6,2,4,0.0,50.0,-2.50,-0.69,-1.01
92,"Justin Harmon",UTAH,20,11,3,2,0,0,2,1,5,11,0,0,45.5,,0.42,0.00,-1.11
93,"Chauncey Wiggins",BOS,9,3,4,1,0,0,0,1,1,2,0,0,50.0,,0.17,0.00,-1.16
94,"Barry Dunning Jr.",POR,15,4,1,2,1,0,0,0,2,4,0,0,50.0,,0.33,0.00,-1.16
95,"Lance Ware",NY,14,2,5,2,1,0,0,0,1,2,0,1,50.0,0.0,0.17,-0.67,-1.20
96,"Tobi Lawal",DAL,17,6,0,0,0,1,0,0,3,3,0,0,100.0,,1.75,0.00,-1.23
97,"Basheer Jihad",DET,5,2,1,0,1,1,0,0,1,1,0,0,100.0,,0.58,0.00,-1.33
98,"Enrique Freeman",MIN,25,4,7,4,0,0,1,0,2,6,0,1,33.3,0.0,-0.50,-0.67,-1.33
99,"Dane Goodwin",CLE,18,2,3,1,1,2,1,0,1,6,0,0,16.7,,-1.50,0.00,-1.34
100,"Jahmir Young",MIA,28,12,4,2,2,0,2,1,4,14,2,4,28.6,50.0,-1.83,-0.69,-1.40
101,"Hayden Gray",UTAH,26,2,3,5,4,0,5,0,1,7,0,0,14.3,,-1.92,0.00,-1.49
102,"Dillon Mitchell",BOS,24,11,4,2,0,0,2,1,5,10,0,1,50.0,0.0,0.83,-0.67,-1.50
103,"Drake Allen",DET,24,4,1,2,2,0,1,0,2,6,0,0,33.3,,-0.50,0.00,-1.53
104,"Devin Askew",PHX,9,3,4,3,0,0,2,1,1,2,0,0,50.0,,0.17,0.00,-1.54
105,"Kira Lewis Jr.",POR,6,5,0,1,0,0,0,1,2,2,0,0,100.0,,1.17,0.00,-1.56
106,"Jaden Bradley",TOR,26,15,5,2,0,0,4,0,5,11,5,7,45.5,71.4,0.42,0.29,-1.57
107,"Brandon Angel",TOR,12,6,2,0,1,0,2,2,2,4,0,0,50.0,,0.33,0.00,-1.62
108,"Eric Dixon",UTAH,14,2,3,1,1,1,0,0,1,6,0,0,16.7,,-1.50,0.00,-1.62
109,"Malik Williams",CHI,23,4,4,2,1,1,2,0,0,6,2,2,0.0,100.0,-2.50,0.65,-1.63
110,"Nimari Burnett",TOR,24,4,6,2,0,0,0,0,1,4,1,2,25.0,50.0,-0.67,-0.35,-1.65
111,"John Poulakidas",DAL,24,6,2,1,1,1,3,1,1,4,1,1,25.0,100.0,-0.67,0.33,-1.75
112,"Tyler Burton",MEM,11,8,3,0,0,0,2,2,3,6,0,0,50.0,,0.50,0.00,-1.84
113,"Jayson Kent",POR,20,6,2,1,0,0,0,0,2,5,1,1,40.0,100.0,-0.08,0.33,-1.85
114,"Nate Santos",MIN,25,9,2,0,1,1,4,2,3,9,1,1,33.3,100.0,-0.75,0.33,-1.93
115,"Zeke Mayo",ATL,20,3,1,1,3,0,2,1,1,7,0,0,14.3,,-1.92,0.00,-2.29
116,"Ezra Ausar",MIA,5,2,3,0,1,0,1,0,1,1,0,0,100.0,,0.58,0.00,-2.37
117,"Keyshawn Hall",MIA,20,2,5,2,1,0,1,0,1,7,0,0,14.3,,-1.92,0.00,-2.43
118,"Taylor Hendricks",MEM,29,9,1,2,0,0,1,1,4,12,0,0,33.3,,-1.00,0.00,-2.43
119,"Luke Travers",MIL,15,2,1,0,3,0,2,0,1,3,0,0,33.3,,-0.25,0.00,-2.47
120,"Rasheer Fleming",PHX,26,9,4,1,0,0,2,3,3,7,0,2,42.9,0.0,0.08,-1.35,-2.49
121,"Andersson Garcia",UTAH,25,2,2,1,1,0,1,0,1,2,0,0,50.0,,0.17,0.00,-2.49
122,"Bez Mbeng",UTAH,5,3,0,1,0,0,0,0,1,1,1,1,100.0,100.0,0.58,0.33,-2.50
123,"Flynn Cameron",POR,7,2,1,3,1,0,2,0,1,2,0,0,50.0,,0.17,0.00,-2.50
124,"Ian Martinez",CLE,2,2,1,1,0,0,0,0,0,1,2,2,0.0,100.0,-0.42,0.65,-2.51
125,"Nick Pringle",BOS,13,6,5,1,0,0,4,0,2,3,2,2,66.7,100.0,0.75,0.65,-2.58
126,"Jalen Bridges",POR,19,4,2,1,1,0,1,1,1,4,1,2,25.0,50.0,-0.67,-0.35,-2.64
127,"Curtis Jones",BOS,15,3,3,1,2,0,3,1,1,5,0,0,20.0,,-1.08,0.00,-2.68
128,"Tre'Von Spillers",CLE,8,0,5,1,0,0,0,0,0,2,0,0,0.0,,-0.83,0.00,-2.71
129,"Alondes Williams",BOS,17,5,3,1,0,0,0,1,1,5,1,2,20.0,50.0,-1.08,-0.35,-2.71
130,"Day Day Thomas",BOS,6,2,1,3,1,0,2,0,1,3,0,0,33.3,,-0.25,0.00,-2.81
131,"Taevion Kinsey",IND,20,7,1,2,0,0,1,1,1,5,2,3,20.0,66.7,-1.08,-0.02,-2.82
132,"Javonte Cooke",PHX,25,6,3,4,0,0,1,0,2,9,1,2,22.2,50.0,-1.75,-0.35,-2.90
133,"Sam Hoiberg",PHX,10,0,1,2,0,0,0,0,0,0,0,0,,,0.00,0.00,-2.97
134,"Jaylin Williams",MIN,10,0,3,0,1,0,0,0,0,2,0,0,0.0,,-0.83,0.00,-2.98
135,"John Tonje",BOS,20,5,2,0,1,0,1,1,2,8,0,0,25.0,,-1.33,0.00,-3.00
136,"Eli Ndiaye",ATL,12,2,0,1,0,0,0,0,1,1,0,0,100.0,,0.58,0.00,-3.15
137,"Ugonna Onyenso",DET,11,0,5,0,0,0,0,0,0,2,0,0,0.0,,-0.83,0.00,-3.25
138,"Sean East II",CLE,15,5,0,2,0,0,2,1,2,5,0,0,40.0,,-0.08,0.00,-3.42
139,"Corey Stephenson",DET,7,2,1,0,0,0,0,0,1,2,0,0,50.0,,0.17,0.00,-3.65
140,"Brice Williams",DET,23,5,2,0,1,2,2,1,2,11,0,1,18.2,0.0,-2.58,-0.67,-3.69
141,"AJ Hoggard",TOR,17,5,2,3,1,0,5,1,2,6,0,0,33.3,,-0.50,0.00,-3.69
142,"Lawson Lovering",MEM,16,4,1,1,0,0,2,0,1,2,1,1,50.0,100.0,0.17,0.33,-3.78
143,"Rafael Castro",MIL,18,4,3,0,0,1,1,0,1,5,1,2,20.0,50.0,-1.08,-0.35,-3.84
144,"Yuki Kawamura",IND,17,10,0,1,1,0,4,0,2,8,3,3,25.0,100.0,-1.33,0.98,-3.85
