Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Sean Pedulla",LAC,30,24,5,11,6,0,3,5,8,15,2,2,53.3,100.0,1.34,0.56,15.78
2,"Norchad Omier",LAC,26,20,15,5,1,0,1,2,8,10,1,1,80.0,100.0,3.56,0.28,10.95
3,"Donovan Atwell",CHI,27,22,2,1,0,2,2,6,8,10,0,0,80.0,,3.56,0.00,7.88
4,"Justin Harmon",UTAH,20,21,6,3,2,0,2,1,7,13,6,6,53.8,100.0,1.23,1.67,7.42
5,"Christian Anderson",CHA,29,18,4,8,3,0,2,1,4,11,4,4,36.4,100.0,-0.88,1.11,7.09
6,"Emanuel Sharp",SAC,30,16,2,3,3,1,1,4,5,12,1,1,41.7,100.0,-0.33,0.28,6.76
7,"Tre'Von Spillers",CLE,18,12,9,1,2,2,1,2,5,9,0,0,55.6,,1.00,0.00,6.71
8,"Tre White",MIA,32,21,4,3,1,0,1,4,7,13,2,2,53.8,100.0,1.23,0.56,6.62
9,"Tre Donaldson",MIA,37,20,8,10,1,0,7,3,8,12,1,1,66.7,100.0,2.67,0.28,6.49
10,"Ebuka Okorie",DET,29,27,4,3,1,0,1,1,9,20,5,5,45.0,100.0,0.12,1.39,5.98
11,"Kendall Brown",MIA,22,11,1,2,2,3,1,0,4,6,2,2,66.7,100.0,1.34,0.56,5.27
12,"Jaylin Williams",MIN,17,21,1,1,0,0,1,5,8,10,0,0,80.0,,3.56,0.00,5.11
13,"Darin Green Jr.",DAL,24,21,2,4,0,0,2,6,6,13,1,1,46.2,100.0,0.23,0.28,4.82
14,"Baba Miller",LAC,20,15,4,6,0,1,0,1,7,13,0,0,53.8,,1.23,0.00,4.77
15,"Meleek Thomas",CLE,25,24,2,2,1,0,1,3,10,20,1,1,50.0,100.0,1.12,0.28,4.59
16,"Jorge Diaz Graham",DAL,26,15,12,5,1,0,1,3,4,11,2,4,36.4,50.0,-0.88,-0.89,4.40
17,"Chaz Lanier",DET,30,11,3,4,2,0,0,3,4,9,0,0,44.4,,0.00,0.00,4.39
18,"Nick Martinelli",LAC,29,18,6,2,1,0,1,0,7,8,3,4,87.5,75.0,3.45,0.11,4.32
19,"Adam Flagler",SAC,25,11,3,3,1,2,0,1,4,10,1,1,40.0,100.0,-0.44,0.28,3.85
20,"Jonathan Mogbo",SAC,25,14,8,4,0,3,3,2,6,13,0,1,46.2,0.0,0.23,-0.72,3.72
21,"John Poulakidas",DAL,25,18,2,1,0,0,2,5,6,9,1,1,66.7,100.0,2.00,0.28,3.57
22,"Keaton Wagler",LAC,28,26,4,2,1,1,4,2,9,19,4,5,47.4,80.0,0.56,0.39,3.50
23,"Nate Santos",MIN,26,13,6,1,1,0,2,3,3,7,3,3,42.9,100.0,-0.11,0.83,3.16
24,"Malaki Branham",CLE,20,13,1,5,1,1,2,1,5,9,1,1,55.6,100.0,1.00,0.28,2.87
25,"Meechie Johnson",MIA,17,13,2,4,0,0,1,2,3,5,3,3,60.0,100.0,0.78,0.83,2.87
26,"Zyon Pullin",MIN,32,18,3,8,1,0,5,1,2,8,8,9,25.0,88.9,-1.55,1.50,2.59
27,"Rashaun Agee",CLE,16,4,9,2,3,1,0,0,2,10,0,0,20.0,,-2.44,0.00,2.55
28,"Rocco Zikarsky",MIN,25,16,7,5,0,2,1,0,6,10,2,5,60.0,40.0,1.56,-1.61,2.43
29,"Viktor Lakhin",SAC,21,12,11,3,1,1,3,0,4,8,2,3,50.0,66.7,0.45,-0.17,2.43
30,"Riley Minix",CLE,18,12,1,3,1,0,0,2,5,9,0,0,55.6,,1.00,0.00,2.36
31,"Jalen Bridges",POR,24,16,6,0,0,0,1,2,6,10,1,1,60.0,100.0,1.56,0.28,2.35
32,"Hannes Steinbach",CHA,29,22,11,0,1,0,2,1,7,10,3,6,70.0,50.0,2.56,-1.33,2.32
33,"Brice Williams",DET,25,15,5,1,1,0,2,1,5,8,2,2,62.5,100.0,1.45,0.56,2.32
34,"Bez Mbeng",UTAH,21,4,0,4,4,0,0,0,1,5,2,2,20.0,100.0,-1.22,0.56,2.30
