Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Kira Lewis Jr.",MIL,24,14,4,5,2,0,0,2,6,9,0,0,66.7,,2.34,0.00,9.17
2,"Brandon Boston Jr.",MIL,24,17,4,3,2,0,2,1,6,9,3,3,66.7,100.0,2.34,0.92,6.47
3,"Egor Demin",BKN,24,23,7,1,0,0,2,2,8,15,3,4,53.3,75.0,1.89,0.23,5.32
4,"Emanuel Sharp",SAC,32,13,4,1,2,1,0,2,3,11,2,2,27.3,100.0,-1.48,0.61,5.11
5,"Jonathan Mogbo",SAC,32,6,7,0,2,5,1,0,3,5,0,1,60.0,0.0,0.96,-0.69,4.41
6,"Ben Humrichous",BKN,12,6,2,1,2,1,0,2,2,6,0,0,33.3,,-0.44,0.00,2.81
7,"Darius Acuff Jr.",SAC,24,25,2,3,1,0,1,1,9,29,5,7,31.0,71.4,-2.81,0.15,2.37
8,"Bogoljub Markovic",MIL,25,16,6,3,1,0,3,0,8,12,0,1,66.7,0.0,3.11,-0.69,2.20
9,"Rafael Castro",MIL,20,4,6,1,4,1,2,0,2,2,0,1,100.0,0.0,1.19,-0.69,1.88
10,"RJ Nembhard Jr.",GS,22,15,2,3,0,0,2,1,4,11,3,3,36.4,100.0,-0.48,0.92,1.40
11,"Chaney Johnson",BKN,10,10,10,1,0,1,3,0,2,5,3,3,40.0,100.0,-0.04,0.92,1.38
12,"Tyler Bilodeau",BKN,24,9,6,0,0,1,0,1,4,6,0,1,66.7,0.0,1.56,-0.69,1.32
13,"David Green",GS,15,10,0,0,0,1,0,2,4,6,0,0,66.7,,1.56,0.00,1.29
14,"Colby Jones",GS,23,6,6,3,2,0,3,0,3,5,0,0,60.0,,0.96,0.00,0.90
15,"Jacksen Moni",GS,18,6,6,0,1,1,1,2,2,6,0,1,33.3,0.0,-0.44,-0.69,0.89
16,"Jesse Edwards",MIL,9,9,3,0,0,2,2,1,3,4,1,1,75.0,100.0,1.37,0.31,0.64
17,"Andersson Garcia",GS,17,7,3,1,1,0,1,1,1,2,2,2,50.0,100.0,0.19,0.61,0.62
18,"Nick Boyd",GS,23,11,1,3,2,0,2,1,2,10,3,4,20.0,75.0,-2.07,0.23,0.14
19,"Dylan Cardwell",SAC,28,8,8,2,2,4,4,0,3,4,1,6,75.0,16.7,1.37,-3.16,0.04
20,"Nique Clifford",SAC,29,9,4,3,0,0,2,1,4,11,0,0,36.4,,-0.48,0.00,-0.17
21,"Kevin Miller Jr.",MIL,16,4,4,3,2,1,2,0,2,6,0,1,33.3,0.0,-0.44,-0.69,-0.46
22,"Cormac Ryan",MIL,19,13,0,0,0,0,2,2,3,8,3,3,37.5,100.0,-0.26,0.92,-0.70
23,"Wade Taylor IV",GS,17,3,1,2,3,1,2,1,1,9,0,0,11.1,,-2.66,0.00,-0.89
24,"Zack Austin",MIL,14,6,3,2,1,2,2,0,2,6,1,2,33.3,50.0,-0.44,-0.39,-0.89
25,"Malique Lewis",MIL,20,5,4,1,0,1,1,0,2,4,1,1,50.0,100.0,0.37,0.31,-0.99
26,"Reese Dixon-Waters",GS,17,9,4,0,0,0,1,1,4,9,0,0,44.4,,0.34,0.00,-1.14
27,"Steve Settle III",GS,16,7,2,1,0,0,0,1,3,5,0,1,60.0,0.0,0.96,-0.69,-1.30
28,"Luke Travers",MIL,14,4,7,2,0,0,1,0,2,7,0,0,28.6,,-0.85,0.00,-1.34
29,"Marquel Sutton",SAC,11,2,5,0,1,0,0,0,1,2,0,0,50.0,,0.19,0.00,-1.60
30,"Hunter Sallis",BKN,18,8,4,0,0,1,2,0,2,4,2,2,50.0,100.0,0.37,0.61,-1.63
31,"Ben Saraf",BKN,27,10,5,1,0,1,3,0,4,10,1,1,40.0,100.0,-0.07,0.31,-1.63
32,"Jamarion Sharp",SAC,8,5,3,0,0,0,0,0,2,2,1,1,100.0,100.0,1.19,0.31,-1.76
33,"Adam Flagler",SAC,10,6,0,2,2,0,1,0,1,8,2,2,12.5,100.0,-2.26,0.61,-2.03
34,"John Butler Jr.",MIL,9,5,2,0,0,0,0,1,2,4,0,1,50.0,0.0,0.37,-0.69,-2.85
35,"Cameron Tyson",GS,18,1,3,2,1,0,1,0,0,6,1,1,0.0,100.0,-2.44,0.31,-3.23
36,"Hason Ward",GS,15,8,3,0,0,1,3,0,4,7,0,0,57.1,,1.15,0.00,-3.24
37,"Drake Powell",BKN,24,4,8,2,1,0,3,0,0,9,2,3,0.0,66.7,-3.66,-0.08,-3.62
38,"Mitch Mascari",SAC,8,0,2,0,1,0,0,0,0,1,0,0,0.0,,-0.41,0.00,-3.63
39,"Duke Brennan",BKN,15,4,5,1,0,0,4,0,0,1,2,2,0.0,100.0,-0.41,0.61,-4.31
40,"Kobe Stewart",MIL,1,0,0,0,0,0,0,0,0,1,0,0,0.0,,-0.41,0.00,-5.46
41,"John Ukomadu",BKN,20,2,3,0,0,1,3,0,0,3,1,1,0.0,100.0,-1.22,0.31,-5.50
