Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Allen Graves",TOR,29,22,13,0,3,2,2,3,9,16,1,1,56.3,100.0,2.64,0.30,11.50
2,"Bruce Thornton",HOU,35,27,3,3,3,0,1,3,7,18,7,7,38.9,100.0,-0.16,2.09,10.23
3,"Isaiah Crawford",HOU,33,17,7,4,3,3,1,1,5,16,4,4,31.3,100.0,-1.36,1.19,9.48
4,"Nae'Qwan Tomlin",CLE,29,20,6,4,3,1,2,2,8,14,1,1,57.1,100.0,2.43,0.30,9.17
5,"John Tonje",BOS,26,20,5,2,3,0,2,5,6,14,1,1,42.9,100.0,0.43,0.30,7.67
6,"Caleb Wilson",CHI,33,35,5,0,2,3,6,7,12,21,2,6,57.1,33.3,3.65,-2.21,7.52
7,"Cameron Boozer",MEM,27,23,6,4,1,1,4,1,7,12,5,5,58.3,100.0,2.23,1.49,7.23
8,"Nate Bittle",TOR,26,8,10,3,0,6,3,2,3,7,0,0,42.9,,0.22,0.00,7.03
9,"Tre White",MIA,24,16,10,2,1,0,0,2,5,11,3,3,45.5,100.0,0.63,0.89,6.92
10,"Mikel Brown Jr.",BKN,22,20,1,3,2,1,2,3,6,12,3,3,50.0,100.0,1.23,0.89,6.82
11,"Adou Thiero",LAL,30,20,4,4,3,2,0,0,8,14,2,5,57.1,40.0,2.43,-1.51,6.18
12,"Meleek Thomas",CLE,27,20,5,3,1,0,0,2,7,15,2,2,46.7,100.0,1.03,0.60,6.17
13,"Pete Nance",MIL,26,16,7,0,0,2,1,4,6,10,0,0,60.0,,2.02,0.00,6.13
14,"Trevor Keels",MIA,25,14,5,4,3,0,2,2,6,11,0,0,54.5,,1.63,0.00,5.91
15,"Jahmir Young",MIA,20,19,2,7,2,0,2,2,8,15,1,2,53.3,50.0,2.03,-0.40,5.90
16,"Jalen Slawson",IND,23,15,6,5,1,5,3,2,4,15,4,6,26.7,66.7,-1.97,-0.21,5.84
17,"Tre Donaldson",MIA,23,12,0,6,2,1,2,2,4,5,1,1,80.0,100.0,2.01,0.30,5.78
18,"Amari Williams",BOS,29,23,13,2,0,2,3,0,7,9,5,8,77.8,62.5,3.42,-0.61,5.65
19,"Arthur Kaluma",LAL,16,18,4,1,0,0,0,1,5,5,5,5,100.0,100.0,3.01,1.49,5.64
20,"Chris Cenac Jr.",BOS,29,14,10,0,1,4,3,2,5,13,1,1,38.5,100.0,-0.17,0.30,5.55
21,"Bryce Hopkins",DEN,26,24,4,0,3,2,2,1,9,13,3,6,69.2,50.0,3.83,-1.21,5.49
22,"Cedric Coward",MEM,30,17,10,5,0,2,3,1,5,12,3,4,41.7,75.0,0.23,0.19,5.19
23,"Javonte Cooke",PHX,24,21,1,0,0,0,0,5,7,12,1,1,58.3,100.0,2.23,0.30,5.11
24,"Rienk Mast",IND,32,16,11,3,1,0,1,1,6,12,2,3,50.0,66.7,1.23,-0.11,5.06
25,"Chaney Johnson",BKN,23,11,9,2,4,0,2,1,4,7,1,2,57.1,50.0,1.22,-0.40,4.92
26,"DJ Steward",POR,25,21,8,2,2,1,4,3,8,18,1,2,44.4,50.0,0.84,-0.40,4.86
27,"Egor Demin",BKN,22,20,3,2,1,1,1,3,7,15,2,3,46.7,66.7,1.03,-0.11,4.79
28,"Tyler Nickel",NY,22,18,4,0,0,0,0,6,6,11,0,1,54.5,0.0,1.63,-0.70,4.34
29,"Pacome Dadiet",NY,21,20,7,0,1,0,0,1,6,16,4,4,37.5,100.0,-0.36,1.19,4.31
30,"Ian Schieffelin",MIA,18,16,4,0,1,1,2,2,5,7,2,2,71.4,100.0,2.22,0.60,4.02
31,"Ryan Conwell",MIA,27,19,1,3,0,1,0,2,7,16,1,1,43.8,100.0,0.64,0.30,3.80
32,"Taevion Kinsey",IND,16,16,1,1,0,0,1,4,4,5,2,2,80.0,100.0,2.01,0.60,3.77
33,"Brooks Barnhizer",OKC,24,12,10,2,2,1,2,0,3,7,3,4,42.9,75.0,0.22,0.19,3.76
34,"Malaki Branham",CLE,22,15,4,2,2,1,3,1,4,8,5,6,50.0,83.3,0.82,0.79,3.74
35,"KJ Simpson",DEN,30,17,2,9,1,1,4,0,4,13,6,7,30.8,85.7,-1.17,1.09,3.72
36,"Khaman Maluach",PHX,26,19,11,0,2,1,7,3,7,15,1,1,46.7,100.0,1.03,0.30,3.68
37,"Jayson Kent",POR,28,9,6,3,3,1,2,1,3,10,1,1,30.0,100.0,-0.98,0.30,3.62
38,"Anton Watson",LAL,23,15,1,4,1,0,2,3,6,12,0,0,50.0,,1.23,0.00,3.19
39,"Brayden Burries",MIL,22,18,3,3,0,0,0,1,6,15,3,3,40.0,100.0,0.03,0.89,3.13
40,"Kennedy Chandler",CHI,20,11,0,5,0,2,1,1,3,7,2,2,42.9,100.0,0.22,0.60,3.04
41,"Quadir Copeland",HOU,31,14,7,2,2,0,4,2,4,6,2,3,66.7,66.7,1.61,-0.11,2.86
42,"Cameron Carr",LAL,29,18,2,1,1,2,2,1,7,13,2,3,53.8,66.7,1.83,-0.11,2.84
43,"Seth Lundy",TOR,26,16,6,1,1,0,1,2,4,15,4,4,26.7,100.0,-1.97,1.19,2.83
44,"Taylor Hendricks",MEM,25,10,5,1,0,4,1,0,3,9,2,2,33.3,100.0,-0.58,0.60,2.83
45,"Vladislav Goldin",MIA,20,14,6,2,0,2,1,0,4,8,3,4,50.0,75.0,0.82,0.19,2.79
46,"Malik Williams",CHI,22,10,7,1,1,1,1,2,3,6,1,2,50.0,50.0,0.61,-0.40,2.51
47,"Oscar Cluff",HOU,21,6,9,1,1,2,0,0,3,5,0,1,60.0,0.0,1.01,-0.70,2.45
48,"Javon Small",MEM,29,15,2,3,2,0,0,0,5,14,4,5,35.7,80.0,-0.57,0.49,2.43
49,"Hugo Gonzalez",BOS,37,17,10,8,1,0,3,1,3,16,6,9,18.8,66.7,-3.36,-0.32,2.38
50,"Bennett Stirtz",OKC,28,18,0,2,1,1,4,3,7,14,1,1,50.0,100.0,1.43,0.30,2.36
51,"Rasheer Fleming",PHX,25,6,10,1,2,2,2,0,3,9,0,0,33.3,,-0.58,0.00,2.36
