Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Brayden Burries",MIL,30,26,3,3,3,2,0,4,9,16,3,4,56.3,75.0,2.31,0.16,12.51
2,"Meleek Thomas",CLE,34,30,4,7,4,0,2,4,10,24,3,3,41.7,100.0,-0.03,0.87,12.47
3,"Will Riley",WSH,29,32,6,3,0,0,2,6,9,14,5,6,64.3,83.3,3.15,0.75,11.87
4,"Lester Quinones",ORL,29,28,8,3,3,0,5,4,8,13,7,9,61.5,77.8,2.57,0.62,10.20
5,"Dillon Mitchell",BOS,29,24,8,2,6,2,2,2,10,20,1,3,50.0,33.3,1.64,-1.13,10.14
6,"Brice Williams",DET,27,21,4,2,1,1,3,6,6,9,3,3,66.7,100.0,2.24,0.87,9.60
7,"Khaman Maluach",PHX,28,15,15,1,1,2,0,2,5,9,2,3,55.6,66.7,1.24,-0.13,9.27
8,"Dylan Cardwell",SAC,23,6,8,4,2,5,0,0,3,8,0,0,37.5,,-0.34,0.00,8.58
9,"Nae'Qwan Tomlin",CLE,29,17,6,3,1,4,2,1,7,10,1,2,70.0,50.0,2.82,-0.42,8.51
10,"Chaz Lanier",DET,30,25,3,3,1,0,3,7,9,17,0,0,52.9,,1.90,0.00,8.37
11,"Maliq Brown",SA,29,4,9,5,4,2,2,0,1,1,1,1,100.0,100.0,0.58,0.29,7.75
12,"AJ Dybantsa",WSH,24,23,7,2,3,2,3,1,6,15,5,6,40.0,83.3,-0.27,0.75,7.28
13,"Jayson Kent",POR,32,20,8,1,1,0,1,3,4,9,4,4,44.4,100.0,0.24,1.16,6.88
14,"TyTy Washington Jr.",ORL,30,12,6,7,4,0,3,2,4,8,1,2,50.0,50.0,0.66,-0.42,6.73
15,"Maxime Raynaud",SAC,31,20,12,3,1,0,2,2,7,15,2,3,46.7,66.7,0.73,-0.13,6.29
16,"Malik Dia",NO,23,18,8,1,2,2,2,1,6,12,3,4,50.0,75.0,0.99,0.16,6.23
17,"Jonathan Mogbo",SAC,20,11,9,2,0,2,0,0,3,5,3,3,60.0,100.0,0.91,0.87,6.22
18,"Darius Brown II",PHX,23,18,5,4,1,0,3,3,7,12,1,1,58.3,100.0,1.99,0.29,6.11
19,"Jahmyl Telfort",LAC,16,9,4,5,1,0,0,3,3,5,0,0,60.0,,0.91,0.00,5.58
20,"Darryn Peterson",UTAH,26,23,2,5,2,2,2,1,6,18,6,8,33.3,75.0,-1.52,0.33,5.36
21,"Nick Boyd",GS,18,14,2,2,1,0,0,2,5,6,1,1,83.3,100.0,2.49,0.29,4.85
22,"Hugo Gonzalez",BOS,33,14,4,4,3,1,5,3,3,10,3,3,30.0,100.0,-1.18,0.87,4.79
23,"Reece Beekman",WSH,25,9,4,4,3,1,2,3,3,6,0,1,50.0,0.0,0.49,-0.71,4.77
24,"Baba Miller",LAC,26,15,5,2,0,0,1,2,5,7,2,2,71.4,100.0,2.07,0.58,4.72
25,"Alex Morales",ORL,30,10,5,2,3,0,1,1,4,6,1,1,66.7,100.0,1.49,0.29,4.66
26,"Yaxel Lendeborg",GS,24,14,2,4,3,0,2,4,5,14,0,0,35.7,,-0.85,0.00,4.56
27,"Phillip Wheeler",ORL,30,18,1,0,1,3,1,4,6,11,1,3,54.5,33.3,1.40,-1.13,4.53
