Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
63,"Jamarion Sharp",TOR,17,8,4,0,0,2,0,0,4,5,0,1,80.0,0.0,1.85,-0.73,0.48
64,"Drake Powell",BKN,25,6,1,1,3,1,1,0,1,6,2,2,16.7,100.0,-1.58,0.55,0.48
65,"Michael Foster Jr.",HOU,12,6,5,0,1,0,1,2,2,4,0,0,50.0,,0.28,0.00,0.38
66,"William Hickey",LAL,14,4,7,2,0,0,0,0,1,2,1,1,50.0,100.0,0.14,0.27,0.32
67,"Josh Dix",OKC,30,11,2,0,1,0,1,3,4,10,0,0,40.0,,-0.29,0.00,0.27
68,"Anthony Pritchard",OKC,24,4,5,5,1,2,3,0,2,9,0,0,22.2,,-1.86,0.00,0.13
69,"Frankie Fidler",POR,26,16,5,1,0,0,2,2,6,14,2,3,42.9,66.7,-0.01,-0.18,0.09
70,"Steven Ashworth",OKC,18,5,4,6,0,0,2,1,1,4,1,1,25.0,100.0,-0.72,0.27,0.02
71,"Aliou Diarra",POR,14,4,4,1,0,3,0,0,1,4,1,2,25.0,50.0,-0.72,-0.45,-0.06
72,"Pacome Dadiet",NY,28,9,3,1,1,2,2,1,3,12,1,1,25.0,100.0,-2.15,0.27,-0.06
73,"Cameron Corhen",ATL,20,8,3,0,1,1,2,0,4,6,0,0,66.7,,1.42,0.00,-0.22
74,"Stevie Mitchell",HOU,5,9,0,0,0,0,0,1,1,1,3,3,100.0,100.0,0.57,0.82,-0.32
75,"Tobe Awaka",CHI,19,12,3,0,0,1,2,0,5,5,1,2,100.0,50.0,2.85,-0.45,-0.36
76,"Oziyah Sellers",NY,16,6,2,2,1,0,0,1,2,7,1,1,28.6,100.0,-1.00,0.27,-0.47
77,"Anton Watson",LAL,17,8,1,4,0,0,1,0,3,5,1,1,60.0,100.0,0.85,0.27,-0.49
78,"Caleb Wilson",CHI,24,21,8,2,1,1,8,1,7,15,3,5,46.7,60.0,0.56,-0.63,-0.49
79,"Jaylin Sellers",CHI,24,9,1,3,1,1,1,0,3,12,2,2,25.0,100.0,-2.15,0.55,-0.61
80,"Jalen Bridges",POR,15,2,4,0,2,0,0,0,1,2,0,0,50.0,,0.14,0.00,-0.65
81,"Joshua Jefferson",BKN,19,4,3,2,2,1,0,0,2,6,0,1,33.3,0.0,-0.58,-0.73,-0.71
82,"Ian Schieffelin",MIA,8,8,2,0,0,0,0,2,3,6,0,0,50.0,,0.42,0.00,-0.72
83,"Tyreke Key",TOR,16,11,1,1,0,0,0,1,2,8,3,3,25.0,100.0,-1.43,0.82,-0.83
84,"Arnas Sakenis",MIA,8,2,2,1,0,2,1,0,0,0,1,1,,100.0,0.00,0.27,-0.85
85,"Antonio Reeves",CHI,14,9,3,0,1,0,0,1,3,6,1,2,50.0,50.0,0.42,-0.45,-0.90
86,"Jaden Bradley",TOR,27,4,4,6,1,1,4,0,1,4,2,3,25.0,66.7,-0.72,-0.18,-0.98
87,"Zeke Mayo",ATL,24,10,2,4,0,0,3,2,4,10,0,0,40.0,,-0.29,0.00,-1.04
88,"Tyler Burton",MEM,7,2,1,1,1,1,0,0,0,1,1,1,0.0,100.0,-0.43,0.27,-1.09
89,"Miller Kopp",HOU,14,5,1,2,1,0,2,1,1,2,1,1,50.0,100.0,0.14,0.27,-1.34
90,"Barry Dunning Jr.",POR,14,3,5,2,0,0,1,1,1,3,0,0,33.3,,-0.29,0.00,-1.38
91,"Karim Lopez",MEM,11,0,4,0,1,2,2,0,0,1,0,0,0.0,,-0.43,0.00,-1.42
92,"J'Vonne Hadley",MIA,25,8,4,0,0,0,0,1,3,6,1,2,50.0,50.0,0.42,-0.45,-1.67
93,"Henri Veesaar",ATL,20,5,3,1,1,1,3,1,2,6,0,0,33.3,,-0.58,0.00,-1.71
94,"Carson Cooper",MEM,15,6,5,0,0,0,1,0,1,5,3,3,20.0,100.0,-1.15,0.82,-1.71
95,"Jaden Springer",DAL,15,11,0,3,0,2,4,1,3,8,2,3,37.5,66.7,-0.43,-0.18,-1.75
96,"Oscar Cluff",HOU,24,2,10,0,0,0,0,0,0,1,1,2,0.0,50.0,-0.43,-0.45,-1.75
97,"Jacksen Moni",GS,14,7,5,0,0,1,2,1,2,5,1,2,40.0,50.0,-0.15,-0.45,-2.05
98,"Matthew Murrell",DEN,21,5,3,2,1,0,1,1,2,5,0,1,40.0,0.0,-0.15,-0.73,-2.22
99,"Malik Williams",CHI,13,0,7,0,0,1,0,0,0,0,0,1,,0.0,0.00,-0.73,-2.26
100,"Daishen Nix",HOU,27,8,4,5,1,0,4,0,2,7,2,3,28.6,66.7,-1.00,-0.18,-2.26
101,"Charles Bediako",CHI,6,2,4,0,0,0,0,0,1,1,0,0,100.0,,0.57,0.00,-2.31
102,"Nate Kingz",MIA,11,0,2,3,0,1,0,0,0,3,0,0,0.0,,-1.29,0.00,-2.33
103,"Mark Mitchell Jr.",DEN,15,5,2,0,0,1,0,1,1,3,1,2,33.3,50.0,-0.29,-0.45,-2.33
104,"AJ Hoggard",TOR,17,5,1,4,0,0,1,0,2,7,1,1,28.6,100.0,-1.00,0.27,-2.49
105,"Houston Mallette",CHI,11,3,2,0,0,0,0,1,1,2,0,0,50.0,,0.14,0.00,-2.50
106,"Eli Ndiaye",ATL,21,5,4,1,0,0,1,1,2,7,0,0,28.6,,-1.00,0.00,-2.55
107,"Danny Wolf",BKN,19,4,8,2,1,2,5,0,1,3,1,3,33.3,33.3,-0.29,-1.18,-2.56
