Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Chris Manon",LAL,27,24,8,2,2,3,3,2,7,10,6,8,70.0,75.0,2.64,0.47,10.37
2,"Marquel Sutton",SAC,33,24,6,1,1,2,1,4,6,14,5,5,42.9,100.0,-0.10,1.55,10.21
3,"Dylan Cardwell",SAC,25,12,12,2,4,4,2,0,5,7,1,2,71.4,50.0,1.95,-0.38,10.20
4,"Chaney Johnson",BKN,32,19,7,2,2,1,0,1,7,9,2,2,77.8,100.0,3.08,0.62,9.57
5,"Egor Demin",BKN,26,23,8,5,2,0,3,2,7,12,4,5,58.3,80.0,1.77,0.55,8.28
6,"Ryan Conwell",MIA,30,26,5,4,0,0,3,4,8,14,3,3,57.1,100.0,1.90,0.93,7.31
7,"Ja'Kobi Gillespie",SA,31,19,1,6,2,0,2,5,7,14,0,0,50.0,,0.90,0.00,7.04
8,"Ian Schieffelin",MIA,21,11,8,0,1,2,0,1,4,9,2,2,44.4,100.0,0.08,0.62,5.10
9,"Deivon Smith",GS,24,16,9,5,1,0,2,2,6,15,1,1,40.0,100.0,-0.53,0.31,5.01
10,"Emanuel Miller",SA,28,14,7,1,2,1,2,3,5,12,1,1,41.7,100.0,-0.23,0.31,4.77
11,"Darius Acuff Jr.",SAC,28,22,3,3,1,2,4,4,7,19,2,2,36.8,100.0,-1.28,0.62,4.57
12,"Tyler Bilodeau",BKN,28,18,5,2,0,0,2,6,6,12,0,0,50.0,,0.77,0.00,4.46
13,"Ben Saraf",BKN,27,15,3,7,1,0,3,3,6,12,0,0,50.0,,0.77,0.00,4.16
14,"J'Vonne Hadley",MIA,24,7,10,2,1,1,1,1,3,5,0,0,60.0,,0.82,0.00,3.78
15,"John Butler Jr.",MIL,26,5,4,0,2,2,0,0,1,2,2,2,50.0,100.0,0.13,0.62,3.09
