Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Trevor Keels",MIA,30,32,4,2,1,0,1,6,12,19,1,1,63.2,100.0,4.16,0.26,12.04
2,"Chaney Johnson",BKN,32,20,10,0,5,0,2,2,9,13,0,0,69.2,,3.64,0.00,10.66
3,"Kobe Bufkin",NO,31,19,6,5,4,1,2,1,7,15,3,3,46.7,100.0,0.81,0.79,10.43
4,"Tre White",MIA,29,13,5,4,4,1,0,3,3,9,2,2,33.3,100.0,-0.71,0.53,9.91
5,"Seth Lundy",TOR,29,23,5,1,1,0,2,6,8,11,1,1,72.7,100.0,3.46,0.26,9.41
6,"Arthur Kaluma",LAL,30,34,5,0,0,0,5,6,11,16,3,3,68.8,100.0,4.40,0.79,9.17
7,"Jon Elmore",LAL,19,6,4,5,3,2,1,2,2,3,0,0,66.7,,0.76,0.00,8.00
8,"Jase Richardson",ORL,30,15,5,6,0,0,0,3,4,8,3,3,50.0,100.0,0.70,0.79,7.87
9,"Erik Stevenson",DEN,21,18,3,2,2,0,0,4,7,13,0,0,53.8,,1.64,0.00,7.12
10,"Jahmir Young",MIA,35,27,1,6,3,1,4,3,8,23,5,6,34.8,83.3,-1.49,0.59,7.11
11,"Bruce Thornton",HOU,32,17,6,6,5,0,4,3,6,17,1,2,35.3,50.0,-1.01,-0.47,6.77
12,"Tyreke Key",TOR,18,19,2,0,1,1,1,3,4,6,4,4,66.7,100.0,1.52,1.06,6.51
13,"Jalen Slawson",IND,28,26,5,1,1,1,2,1,8,16,6,7,50.0,85.7,1.40,0.85,6.50
14,"Zuby Ejiofor",ATL,27,13,6,2,2,3,2,2,3,6,3,5,50.0,60.0,0.52,-0.68,6.30
15,"Kobe Johnson",ATL,22,17,7,4,1,0,2,1,4,7,5,6,57.1,83.3,1.11,0.59,5.74
16,"Braden Smith",IND,28,16,2,5,2,0,1,1,3,6,6,7,50.0,85.7,0.52,0.85,5.71
17,"Ja'Kobi Gillespie",SA,24,14,5,5,2,0,1,2,6,14,0,0,42.9,,0.22,0.00,5.64
18,"Johni Broome",PHI,33,23,11,3,1,1,3,1,9,19,2,4,47.4,50.0,1.16,-0.94,5.38
19,"Matt Rogers",PHI,20,17,3,1,0,0,0,3,7,8,0,0,87.5,,3.70,0.00,5.32
20,"Morez Johnson Jr.",DAL,28,10,5,0,2,4,1,0,4,8,1,2,50.0,50.0,0.70,-0.47,5.18
21,"Zyon Pullin",MIN,30,24,5,3,0,0,1,2,8,16,3,4,50.0,75.0,1.40,0.06,5.07
22,"Quadir Copeland",HOU,32,9,2,5,4,0,0,1,3,5,1,2,60.0,50.0,0.94,-0.47,5.04
23,"Kylan Boswell",CHA,15,8,4,7,1,0,0,2,3,3,0,1,100.0,0.0,1.76,-0.74,4.99
24,"Carter Bryant",SA,23,19,2,0,1,2,4,2,7,10,2,2,70.0,100.0,2.87,0.53,4.93
25,"Bryce Hopkins",DEN,24,16,7,2,0,1,0,0,6,13,2,2,46.2,100.0,0.64,0.53,4.86
26,"Donovan Williams",MIN,27,16,3,3,2,0,0,0,5,11,3,3,45.5,100.0,0.46,0.79,4.71
27,"Dante Maddox Jr.",PHI,30,15,6,3,0,0,2,3,5,11,2,2,45.5,100.0,0.46,0.53,4.56
28,"Noah Penda",ORL,29,12,7,2,2,2,6,1,2,6,4,4,33.3,100.0,-0.48,1.06,4.35
29,"Isaiah Crawford",HOU,32,16,4,1,1,2,3,3,4,10,3,4,40.0,75.0,-0.13,0.06,4.16
30,"Hunter Dickinson",NO,26,21,3,3,0,0,0,3,9,18,0,1,50.0,0.0,1.57,-0.74,3.89
31,"Daishen Nix",HOU,24,16,3,2,2,0,2,3,4,9,3,4,44.4,75.0,0.29,0.06,3.70
32,"Jamarion Sharp",TOR,16,17,7,0,0,2,1,0,5,5,5,8,100.0,62.5,2.94,-0.88,3.53
33,"Jack Kayil",NY,21,12,5,3,2,0,1,2,5,14,0,0,35.7,,-0.78,0.00,3.45
34,"Nimari Burnett",TOR,22,14,3,3,3,0,1,1,4,9,2,3,44.4,66.7,0.29,-0.21,3.43
35,"Ryan Kalkbrenner",CHA,27,6,4,3,0,4,2,0,3,4,0,1,75.0,0.0,1.35,-0.74,3.27
