Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Noah Penda",ORL,29,10,6,6,1,3,1,2,3,4,2,2,75.0,100.0,1.28,0.48,9.23
2,"Nick Martinelli",LAC,26,19,5,2,2,0,0,3,8,9,0,0,88.9,,4.12,0.00,8.87
3,"Jase Richardson",ORL,30,25,2,4,3,0,4,3,10,15,1,1,66.7,100.0,3.54,0.24,8.05
4,"Tidjane Salaun",CHA,24,21,3,0,4,0,1,2,8,13,2,2,61.5,100.0,2.40,0.48,7.81
5,"Rasheer Fleming",PHX,27,22,8,0,1,0,1,4,8,12,1,1,66.7,100.0,2.83,0.24,7.75
6,"Hugo Gonzalez",BOS,34,24,10,5,1,0,3,3,8,18,3,3,44.4,100.0,0.25,0.71,7.73
7,"Hyunjung Lee",SA,22,22,5,0,2,1,2,4,5,11,4,4,45.5,100.0,0.26,0.95,7.72
8,"Norchad Omier",LAC,19,11,15,3,2,1,0,1,5,9,0,1,55.6,0.0,1.12,-0.76,7.01
9,"Alex Morales",ORL,29,13,10,5,3,0,2,3,5,9,0,1,55.6,0.0,1.12,-0.76,6.99
10,"Kobe Sanders",LAC,32,26,3,5,1,0,3,3,9,17,3,3,52.9,100.0,1.68,0.71,6.89
11,"Sean Pedulla",LAC,29,16,6,11,2,0,3,2,5,16,3,3,31.3,100.0,-1.89,0.71,6.83
12,"Jalen Slawson",IND,23,20,9,3,0,4,6,2,6,12,3,3,50.0,100.0,0.83,0.71,6.74
13,"Alex Karaban",SAC,26,21,8,0,1,0,1,5,7,15,1,1,46.7,100.0,0.54,0.24,6.69
14,"Hannes Steinbach",CHA,27,27,15,3,1,0,3,0,13,22,1,2,59.1,50.0,3.52,-0.52,6.37
15,"Isaac Jones",DET,30,18,10,1,2,2,2,0,6,14,3,3,42.9,100.0,-0.03,0.71,6.22
16,"Zyon Pullin",MIN,29,23,2,6,1,0,3,1,6,12,7,7,50.0,100.0,0.83,1.67,6.06
