Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Noah Penda",ORL,30,23,7,2,2,3,0,5,9,15,0,0,60.0,,2.64,0.00,13.30
2,"Morez Johnson Jr.",DAL,32,27,8,3,3,2,2,1,12,17,2,2,70.6,100.0,4.79,0.61,13.05
3,"Markquis Nowell",NO,31,20,4,6,5,0,4,5,7,14,1,1,50.0,100.0,1.06,0.31,9.96
4,"Joan Beringer",MIN,25,18,11,1,1,4,1,0,7,15,3,3,46.7,100.0,0.64,0.92,9.55
5,"Zyon Pullin",MIN,31,24,9,12,1,2,4,0,6,14,6,8,42.9,75.0,0.06,0.46,9.18
6,"LJ Cryer",GS,27,25,6,4,0,0,2,5,8,14,2,2,57.1,100.0,2.06,0.61,8.09
7,"Emanuel Sharp",SAC,26,21,2,0,4,0,0,3,4,10,7,8,40.0,87.5,-0.24,1.46,7.85
8,"AJ Dybantsa",WSH,26,27,7,2,2,1,1,0,7,18,7,8,38.9,87.5,-0.64,1.46,7.37
9,"Liam McNeeley",CHA,28,28,2,4,0,0,2,7,9,18,3,4,50.0,75.0,1.36,0.23,7.22
10,"Dylan Cardwell",SAC,25,15,9,2,0,2,0,0,5,8,3,3,62.5,100.0,1.61,0.92,7.00
11,"Hannes Steinbach",CHA,22,15,11,2,1,2,3,0,4,7,4,4,57.1,100.0,1.03,1.23,6.90
12,"Micah Peavy",NO,33,16,3,5,2,0,0,2,6,11,1,1,54.5,100.0,1.33,0.31,6.17
13,"Isaac Johnson",PHI,20,20,2,1,0,1,0,4,6,10,2,2,60.0,100.0,1.76,0.61,5.98
14,"Dante Maddox Jr.",PHI,31,21,4,0,1,0,0,4,7,13,1,1,53.8,100.0,1.49,0.31,5.48
15,"Yaxel Lendeborg",GS,28,21,10,6,0,0,2,2,8,13,2,4,61.5,50.0,2.49,-0.77,5.45
16,"Isaac Jones",DET,30,22,4,1,0,2,2,2,9,15,1,1,60.0,100.0,2.64,0.31,5.39
17,"Kobe Bufkin",NO,32,30,6,2,0,1,4,5,8,16,6,9,50.0,66.7,1.21,-0.24,5.35
18,"Cody Williams",UTAH,30,16,5,2,4,1,3,2,6,12,1,2,50.0,50.0,0.91,-0.39,5.02
19,"Nate Santos",MIN,25,20,2,0,0,0,1,5,5,8,3,3,62.5,100.0,1.61,0.92,4.92
20,"Johni Broome",PHI,27,19,13,2,1,2,4,1,9,18,0,1,50.0,0.0,1.36,-0.69,4.89
21,"Ebuka Okorie",DET,30,20,1,4,2,0,1,2,8,16,1,1,50.0,100.0,1.21,0.31,4.73
22,"Kobe Sanders",LAC,33,10,6,4,4,0,1,0,3,10,2,2,30.0,100.0,-1.24,0.61,4.46
23,"Ryan Nembhard",DAL,35,15,3,11,1,1,2,1,6,15,1,2,40.0,50.0,-0.36,-0.39,4.26
24,"Tarris Reed Jr.",SA,21,14,10,2,1,0,2,0,5,9,2,2,55.6,100.0,1.18,0.61,3.74
25,"Baba Miller",LAC,27,12,5,1,0,3,2,1,3,4,3,4,75.0,75.0,1.30,0.23,3.62
26,"Henri Veesaar",ATL,19,14,6,1,1,1,1,2,5,8,1,2,62.5,50.0,1.61,-0.39,3.50
27,"Will Richard",GS,28,6,4,7,2,1,2,0,3,5,0,0,60.0,,0.88,0.00,3.50
28,"Ja'Kobi Gillespie",SA,23,12,3,6,2,1,1,2,5,13,0,1,38.5,0.0,-0.51,-0.69,3.24
29,"Nate Mensah",NO,16,2,7,2,2,2,0,0,1,4,0,0,25.0,,-0.70,0.00,2.99
30,"Nique Clifford",SAC,26,13,3,1,2,1,2,1,4,8,2,2,50.0,100.0,0.61,0.61,2.95
31,"Hunter Dickinson",NO,24,12,6,3,1,2,3,2,4,9,1,2,44.4,50.0,0.18,-0.39,2.86
32,"Lajae Jones",GS,15,11,5,0,0,1,1,2,4,5,1,1,80.0,100.0,1.88,0.31,2.76
33,"Michael Ajayi",CHA,16,9,7,2,2,1,0,1,3,5,1,3,60.0,33.3,0.88,-1.08,2.73
34,"Jonathan Mogbo",SAC,24,12,7,3,1,1,3,1,4,7,2,3,57.1,66.7,1.03,-0.08,2.60
35,"Zuby Ejiofor",ATL,24,12,4,3,1,0,1,1,2,7,4,4,28.6,100.0,-0.97,1.23,2.59
36,"Tre Johnson",WSH,28,26,2,1,1,0,4,2,11,20,1,1,55.0,100.0,2.52,0.31,2.49
37,"RayJ Dennis",ATL,16,10,2,3,3,0,1,0,3,7,2,2,42.9,100.0,0.03,0.61,2.46
38,"Jase Richardson",ORL,30,15,4,4,2,0,3,1,6,14,1,1,42.9,100.0,0.06,0.31,2.20
39,"Ryan Kalkbrenner",CHA,30,10,9,5,0,3,4,0,5,7,0,2,71.4,0.0,2.03,-1.39,2.16
40,"Jonas Aidoo",UTAH,18,8,5,0,0,5,3,0,3,5,1,2,60.0,50.0,0.88,-0.39,1.96
41,"Asa Newell",ATL,23,15,5,2,1,1,0,1,5,11,2,4,45.5,50.0,0.33,-0.77,1.93
42,"Labaron Philon Jr.",PHI,29,18,3,7,1,0,3,4,6,19,1,2,31.6,50.0,-2.06,-0.39,1.93
43,"Roddy Gayle Jr.",DET,12,10,2,0,0,1,0,2,4,4,0,0,100.0,,2.30,0.00,1.91
44,"Sergio de Larrea",DAL,29,9,6,5,1,1,1,1,3,14,1,1,21.4,100.0,-2.94,0.31,1.75
45,"Darius Acuff Jr.",SAC,28,19,3,7,2,1,4,3,6,20,2,4,30.0,50.0,-2.48,-0.77,1.72
46,"Tamar Bates",UTAH,21,9,3,2,1,0,0,1,4,6,0,0,66.7,,1.45,0.00,1.57
47,"Basheer Jihad",DET,19,10,3,2,1,2,0,0,4,5,1,3,80.0,33.3,1.88,-1.08,1.50
48,"Donovan Williams",MIN,26,12,1,0,1,1,0,1,5,10,1,1,50.0,100.0,0.76,0.31,1.45
49,"Kobe Johnson",ATL,16,11,8,0,2,1,2,1,5,11,0,1,45.5,0.0,0.33,-0.69,1.40
50,"Taye Fields",PHI,21,2,6,2,2,0,0,0,1,1,0,0,100.0,,0.58,0.00,1.33
51,"Marquel Sutton",SAC,18,9,5,1,1,0,2,1,4,4,0,0,100.0,,2.30,0.00,1.17
52,"Chaz Lanier",DET,32,12,3,1,0,1,0,1,4,11,2,2,36.4,100.0,-0.67,0.61,1.14
53,"Ugonna Onyenso",DET,20,2,4,0,3,1,0,0,1,3,0,0,33.3,,-0.27,0.00,1.12
54,"Lester Quinones",ORL,24,10,3,4,1,0,1,2,4,11,0,0,36.4,,-0.67,0.00,1.08
55,"Graham Ike",GS,25,9,9,3,0,1,3,0,3,9,2,2,33.3,100.0,-0.82,0.61,1.06
56,"Trey Alexander",UTAH,24,13,5,2,0,0,1,3,4,9,1,2,44.4,50.0,0.18,-0.39,0.96
57,"Drake Allen",DET,10,4,3,4,0,1,0,0,1,2,1,1,50.0,100.0,0.15,0.31,0.77
58,"Cam Christie",LAC,31,15,8,1,0,0,3,1,3,7,4,5,42.9,80.0,0.03,0.54,0.68
59,"Maliq Brown",SA,23,2,4,1,3,0,0,0,0,2,1,1,0.0,100.0,-0.85,0.31,0.59
60,"Tidjane Salaun",CHA,22,9,3,1,2,0,3,1,3,4,1,1,75.0,100.0,1.30,0.31,0.56
61,"John Poulakidas",DAL,24,14,2,1,0,0,0,4,5,15,0,0,33.3,,-1.36,0.00,0.45
62,"Kingston Flemings",ATL,24,5,1,8,1,1,1,1,2,7,0,1,28.6,0.0,-0.97,-0.69,0.37
63,"Seth Trimble",WSH,12,2,3,3,2,0,0,0,1,2,0,0,50.0,,0.15,0.00,0.34
64,"Jack Clark",GS,11,3,2,0,2,1,0,1,1,3,0,0,33.3,,-0.27,0.00,0.24
65,"Will Riley",WSH,29,18,3,2,0,0,3,1,5,12,5,6,41.7,83.3,-0.09,0.84,0.16
66,"Jaden Springer",DAL,15,4,2,1,2,2,2,0,1,1,1,2,100.0,50.0,0.58,-0.39,-0.18
67,"Brice Williams",DET,27,9,8,2,1,0,4,0,1,5,3,3,20.0,100.0,-1.12,0.92,-0.23
68,"RJ Davis",SA,25,12,2,3,2,0,3,0,5,10,2,3,50.0,66.7,0.76,-0.08,-0.37
69,"Amani Lyles",PHI,14,11,2,0,0,1,2,1,4,7,1,1,57.1,100.0,1.03,0.31,-0.45
70,"Chris Livingston",WSH,17,7,3,1,1,0,1,0,3,5,1,1,60.0,100.0,0.88,0.31,-0.46
71,"Tobi Lawal",DAL,14,5,4,1,0,1,0,1,2,6,0,0,33.3,,-0.55,0.00,-0.50
72,"Jaylin Williams",MIN,12,4,4,0,1,1,1,0,2,3,0,0,66.7,,0.73,0.00,-0.53
73,"Isaac McKneely",ATL,22,10,2,2,0,0,1,2,4,9,0,0,44.4,,0.18,0.00,-0.59
74,"Fletcher Loyer",LAC,12,7,3,1,0,0,0,1,3,5,0,0,60.0,,0.88,0.00,-0.63
75,"Matt Rogers",PHI,22,7,3,3,0,0,0,1,3,8,0,0,37.5,,-0.39,0.00,-0.68
76,"Keshon Gilbert",ATL,20,10,5,5,2,0,4,0,5,7,0,2,71.4,0.0,2.03,-1.39,-0.73
77,"Vsevolod Ishchenko",DAL,27,7,3,1,1,0,0,0,2,4,2,3,50.0,66.7,0.30,-0.08,-0.97
78,"Orlando Robinson",UTAH,22,10,6,0,0,1,2,0,3,6,2,3,50.0,66.7,0.45,-0.08,-1.00
79,"Andersson Garcia",UTAH,14,6,2,2,0,0,0,2,2,2,0,1,100.0,0.0,1.15,-0.69,-1.02
80,"Deivon Smith",GS,14,2,4,1,1,1,2,0,1,1,0,0,100.0,,0.58,0.00,-1.11
81,"Reece Beekman",WSH,23,0,2,0,1,3,2,0,0,1,0,0,0.0,,-0.42,0.00,-1.12
82,"Damion Baugh",MIN,16,6,2,2,0,0,1,1,2,4,1,1,50.0,100.0,0.30,0.31,-1.21
