Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Darryn Peterson",UTAH,28,25,2,12,2,0,2,3,8,15,3,3,53.3,100.0,1.72,0.94,11.23
2,"Payton Sandfort",OKC,21,25,4,2,0,0,0,4,6,10,4,4,60.0,100.0,1.81,1.25,7.84
3,"Zuby Ejiofor",ATL,25,19,15,3,0,1,1,3,5,13,4,5,38.5,80.0,-0.45,0.57,7.06
4,"Cameron Boozer",MEM,27,18,7,4,1,0,4,4,6,9,2,2,66.7,100.0,2.23,0.63,5.82
5,"Cedric Coward",MEM,28,23,1,1,1,3,1,3,9,21,1,1,42.9,100.0,0.20,0.31,5.44
6,"Javon Small",MEM,27,14,5,6,3,0,2,2,4,12,2,2,33.3,100.0,-1.03,0.63,5.41
7,"Cody Williams",UTAH,30,18,8,1,1,1,2,2,7,13,1,1,53.8,100.0,1.55,0.31,4.62
8,"Blake Hinson",UTAH,21,15,3,1,2,0,0,4,5,11,1,2,45.5,50.0,0.39,-0.37,4.11
9,"Asa Newell",ATL,28,13,7,3,1,1,2,1,5,8,1,1,62.5,100.0,1.65,0.31,3.83
10,"Jonas Aidoo",UTAH,23,10,7,1,0,5,2,0,4,6,1,1,66.7,100.0,1.49,0.31,3.78
11,"Kingston Flemings",ATL,26,12,2,5,1,3,1,0,4,10,2,3,40.0,66.7,-0.19,-0.06,2.77
12,"Olivier-Maxence Prosper",MEM,29,16,3,2,1,0,0,3,5,11,3,5,45.5,60.0,0.39,-0.43,2.69
13,"Jaxon Kohler",UTAH,23,11,7,2,0,1,1,1,5,7,0,0,71.4,,2.07,0.00,2.54
14,"Max Abmas",UTAH,22,10,5,4,1,0,3,0,2,7,5,5,28.6,100.0,-0.93,1.57,0.83
15,"Isaac McKneely",ATL,19,8,4,1,0,0,0,2,2,5,1,1,40.0,100.0,-0.09,0.31,0.27
16,"Eric Dixon",UTAH,18,13,6,1,0,0,1,2,4,10,2,3,40.0,66.7,-0.19,-0.06,0.08
17,"Keshon Gilbert",ATL,12,12,0,0,1,0,1,2,4,5,1,2,80.0,50.0,1.91,-0.37,-0.02
18,"Carson Cooper",MEM,24,10,6,1,0,0,0,0,3,5,2,3,60.0,66.7,0.91,-0.06,-0.20
19,"Gabe Madsen",ATL,23,6,4,2,2,0,1,2,2,10,0,0,20.0,,-2.19,0.00,-0.24
20,"Justin Harmon",UTAH,15,5,1,0,0,2,0,1,2,3,0,0,66.7,,0.74,0.00,-0.47
21,"Devon Higgs",ATL,17,7,1,2,3,0,0,1,3,8,0,2,37.5,0.0,-0.35,-1.37,-0.58
22,"Brooks Barnhizer",OKC,28,4,13,3,0,0,2,0,1,8,2,2,12.5,100.0,-2.35,0.63,-1.13
23,"Bryce Thompson",OKC,16,12,0,0,0,0,0,0,4,9,3,4,44.4,75.0,0.23,0.25,-2.20
24,"Anthony Pritchard",OKC,19,9,4,1,1,0,2,0,4,5,1,3,80.0,33.3,1.91,-1.06,-2.28
25,"Aday Mara",OKC,23,10,9,1,0,4,5,0,3,9,2,4,33.3,50.0,-0.77,-0.75,-2.50
26,"Lawson Lovering",MEM,15,4,1,1,0,1,0,0,2,2,0,1,100.0,0.0,1.16,-0.69,-2.57
27,"Otega Oweh",OKC,22,4,5,1,2,0,1,0,1,7,1,2,14.3,50.0,-1.93,-0.37,-2.65
28,"Christoph Tilly",OKC,17,4,1,2,1,0,1,0,2,6,0,0,33.3,,-0.51,0.00,-2.80
29,"Isaiah Wong",ATL,17,3,1,2,1,1,2,1,1,6,0,0,16.7,,-1.51,0.00,-2.95
30,"Brendan Hausen",MEM,8,6,1,0,0,0,0,1,1,5,1,1,20.0,100.0,-1.09,0.31,-2.96
31,"Matthew Cleveland",UTAH,11,2,2,0,0,0,0,0,1,1,0,0,100.0,,0.58,0.00,-3.20
32,"Jahmai Mashack",MEM,16,2,5,2,0,0,0,0,1,4,0,1,25.0,0.0,-0.68,-0.69,-3.50
33,"Tyler Burton",MEM,13,7,5,1,0,0,0,1,3,9,0,2,33.3,0.0,-0.77,-1.37,-3.68
34,"Zach Cleveland",MEM,13,0,4,3,0,0,1,0,0,3,0,0,0.0,,-1.26,0.00,-3.77
35,"Bennett Stirtz",OKC,29,9,2,3,0,0,3,1,4,14,0,0,28.6,,-1.86,0.00,-4.43
36,"Josh Dix",OKC,17,0,1,2,0,0,1,0,0,1,0,0,0.0,,-0.42,0.00,-4.48
37,"Nate Johnson",OKC,7,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00,-4.56
38,"Henri Veesaar",ATL,17,2,7,0,0,0,3,0,1,4,0,0,25.0,,-0.68,0.00,-5.16
39,"Kylor Kelley",UTAH,10,0,3,0,0,0,2,0,0,1,0,0,0.0,,-0.42,0.00,-5.63
40,"Kobe Johnson",ATL,17,0,5,1,0,0,2,0,0,3,0,1,0.0,0.0,-1.26,-0.69,-6.37
