Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Yaxel Lendeborg",GS,22,19,5,6,1,1,4,4,6,6,2,2,100.0,100.0,3.24,0.76,8.91
2,"Will Richard",GS,21,16,3,3,3,0,1,4,6,8,0,0,75.0,,2.33,0.00,6.92
3,"Trevor Keels",MIA,27,18,7,3,2,0,2,2,6,13,2,2,46.2,100.0,0.03,0.76,5.80
4,"Vladislav Goldin",MIA,30,14,7,3,1,2,3,1,4,6,3,4,66.7,75.0,1.24,0.53,5.79
5,"Jahmir Young",MIA,28,21,3,4,3,0,4,3,8,13,1,1,61.5,100.0,2.03,0.38,5.47
6,"Jayden Nunn",SA,18,9,2,4,4,1,2,1,3,5,1,1,60.0,100.0,0.70,0.38,4.22
7,"Cameron Carr",LAL,24,19,2,1,0,1,0,5,7,15,0,1,46.7,0.0,0.11,-0.62,3.63
8,"Malevy Leons",GS,22,11,4,4,3,0,1,1,5,8,0,1,62.5,0.0,1.33,-0.62,3.40
9,"RJ Davis",SA,18,15,2,3,1,0,0,3,4,8,2,3,50.0,66.7,0.33,0.15,3.30
10,"Chance McMillian",GS,18,12,4,3,0,0,0,2,4,6,1,1,66.7,100.0,1.24,0.38,3.28
11,"Graham Ike",GS,19,11,4,3,0,1,0,0,5,7,1,1,71.4,100.0,1.79,0.38,3.28
12,"Ja'Kobi Gillespie",SA,29,10,4,8,3,0,1,2,3,17,1,1,17.6,100.0,-4.81,0.38,3.11
13,"Ryan Conwell",MIA,29,21,3,3,0,0,2,3,4,12,4,4,33.3,100.0,-1.51,1.53,3.02
14,"LJ Cryer",GS,19,12,1,5,0,0,0,3,4,8,1,1,50.0,100.0,0.33,0.38,2.72
15,"Miles Kelly",SA,24,16,4,2,1,0,2,2,7,13,0,0,53.8,,1.03,0.00,2.06
16,"Anton Watson",LAL,20,9,3,1,0,1,0,0,2,3,3,3,66.7,100.0,0.62,1.15,1.59
17,"Arthur Kaluma",LAL,18,12,6,1,0,2,2,1,5,12,1,2,41.7,50.0,-0.51,-0.24,1.52
18,"J'Vonne Hadley",MIA,24,4,6,2,3,0,1,0,1,4,1,1,25.0,100.0,-0.84,0.38,1.46
19,"RJ Melendez",SA,17,6,2,0,0,4,1,2,2,5,0,1,40.0,0.0,-0.30,-0.62,1.45
20,"Maliq Brown",SA,22,10,3,0,1,1,1,2,4,7,0,0,57.1,,0.79,0.00,1.36
21,"Tarris Reed Jr.",SA,27,10,7,0,0,1,1,0,3,10,3,3,30.0,100.0,-1.59,1.15,1.16
22,"AK Okereke",LAL,18,6,3,1,1,1,0,0,1,4,2,2,25.0,100.0,-0.84,0.76,0.42
23,"Lajae Jones",GS,19,3,3,2,1,0,0,1,1,3,0,0,33.3,,-0.38,0.00,-0.80
24,"Emanuel Miller",SA,27,4,5,3,2,0,2,0,2,7,0,0,28.6,,-1.21,0.00,-1.03
25,"Lachlan Olbrich",GS,19,6,5,4,0,1,0,0,3,6,0,4,50.0,0.0,0.24,-2.47,-1.44
26,"Adou Thiero",LAL,21,9,4,2,2,0,0,0,3,10,2,5,30.0,40.0,-1.59,-1.09,-1.45
27,"Chase Hunter",GS,10,7,0,0,0,0,0,1,2,2,2,2,100.0,100.0,1.08,0.76,-1.66
28,"Arnas Sakenis",MIA,10,2,2,0,0,1,0,0,1,1,0,0,100.0,,0.54,0.00,-2.26
29,"Zhaire Smith",LAL,16,5,1,1,2,0,1,1,2,4,0,1,50.0,0.0,0.16,-0.62,-2.49
30,"Jon Elmore",LAL,18,0,0,7,2,0,2,0,0,3,0,0,0.0,,-1.38,0.00,-2.57
31,"Chris Manon",LAL,18,8,3,1,0,0,1,0,4,4,0,2,100.0,0.0,2.16,-1.24,-2.80
32,"Myron Gardner",MIA,7,2,4,2,0,0,1,0,1,3,0,0,33.3,,-0.38,0.00,-2.81
33,"Hyunjung Lee",SA,15,5,3,2,0,0,2,1,2,5,0,0,40.0,,-0.30,0.00,-2.86
34,"Tre Donaldson",MIA,18,2,4,2,0,1,3,0,1,3,0,0,33.3,,-0.38,0.00,-3.12
35,"Deivon Smith",GS,21,5,4,2,1,0,4,0,2,7,1,1,28.6,100.0,-1.21,0.38,-3.87
36,"Jack Clark",GS,8,2,1,0,0,0,0,0,1,1,0,0,100.0,,0.54,0.00,-4.09
37,"David Muoka",SA,3,2,1,0,0,0,1,0,1,2,0,0,50.0,,0.08,0.00,-5.19
38,"William Kyle III",LAL,12,2,3,0,0,0,1,0,1,1,0,2,100.0,0.0,0.54,-1.24,-5.44
39,"Kendall Brown",MIA,11,0,1,0,1,0,3,0,0,0,0,0,,,0.00,0.00,-6.29
40,"Peter Suder",LAL,24,2,3,1,0,0,4,0,1,6,0,0,16.7,,-1.76,0.00,-7.20
41,"Robert McCray V",LAL,10,0,2,0,0,0,1,0,0,6,0,1,0.0,0.0,-2.76,-0.62,-7.78
42,"Keyshawn Hall",MIA,16,4,1,0,0,0,3,0,2,6,0,2,33.3,0.0,-0.76,-1.24,-8.71
