Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Aaron Scott",BKN,21,15,5,2,5,1,0,0,6,8,2,2,75.0,100.0,2.38,0.65,8.20
2,"Cedric Coward",MEM,27,19,6,4,0,1,1,5,6,10,1,1,60.0,100.0,1.48,0.32,7.45
3,"Dion Brown",BKN,31,16,10,11,2,0,5,2,5,12,2,2,41.7,100.0,-0.43,0.65,6.27
4,"Jahmi'us Ramsey",DEN,22,20,8,1,2,0,1,2,9,9,0,1,100.0,0.0,4.93,-0.68,6.24
5,"Andrew Holifield",OKC,26,14,4,1,3,3,2,2,5,10,1,1,50.0,100.0,0.48,0.32,5.54
6,"John Ukomadu",BKN,24,23,9,2,2,2,3,3,9,16,2,5,56.3,40.0,1.77,-1.38,5.46
7,"Yaxel Lendeborg",GS,32,21,10,2,2,0,3,2,9,18,1,1,50.0,100.0,0.86,0.32,5.04
8,"Steven Ashworth",OKC,21,22,2,4,2,0,4,4,5,9,4,5,55.6,80.0,0.93,0.62,4.73
9,"Dain Dainja",BKN,24,14,8,0,3,3,2,0,7,9,0,2,77.8,0.0,2.93,-1.35,3.76
10,"Will Richard",GS,29,13,4,1,2,1,1,3,5,10,0,0,50.0,,0.48,0.00,3.66
11,"Aziz Bandaogo",TOR,15,6,8,0,0,6,2,0,3,3,0,0,100.0,,1.64,0.00,3.59
12,"Bryce Harris",OKC,24,13,10,3,1,0,2,1,3,9,4,4,33.3,100.0,-1.07,1.30,3.46
13,"Deivon Smith",GS,23,21,9,3,0,0,2,0,9,14,3,4,64.3,75.0,2.67,0.30,3.46
14,"Mark Sears",DEN,28,17,1,6,1,0,1,1,2,11,7,7,18.2,100.0,-2.97,2.27,3.40
15,"Jabri Abdur-Rahim",OKC,24,17,3,0,2,0,0,2,7,16,1,1,43.8,100.0,-0.23,0.32,2.66
16,"Taylor Hendricks",MEM,28,13,5,2,1,0,1,3,5,10,0,0,50.0,,0.48,0.00,2.58
17,"Nimari Burnett",TOR,20,15,9,0,0,0,0,1,4,10,3,3,40.0,100.0,-0.52,0.97,2.51
18,"Coleman Hawkins",DEN,16,3,6,3,1,2,0,1,1,3,0,0,33.3,,-0.36,0.00,2.08
19,"Erik Stevenson",DEN,28,12,4,2,1,1,1,2,4,10,1,1,40.0,100.0,-0.52,0.32,2.05
20,"Cameron Boozer",MEM,35,19,8,4,2,0,4,3,7,17,1,3,41.2,33.3,-0.69,-1.03,1.80
21,"LJ Cryer",GS,29,15,3,6,0,0,3,4,5,10,1,2,50.0,50.0,0.48,-0.35,1.74
22,"Jamarion Sharp",TOR,25,8,10,1,1,3,4,0,4,6,0,0,66.7,,1.29,0.00,1.61
23,"Javon Small",MEM,30,10,4,8,0,0,1,2,3,11,1,1,27.3,100.0,-1.97,0.32,1.49
24,"Carson Cooper",MEM,17,16,1,0,2,0,0,0,7,8,1,2,87.5,50.0,3.38,-0.35,1.44
25,"Sam Alexis",OKC,19,6,6,0,0,3,0,1,2,3,1,2,66.7,50.0,0.64,-0.35,1.31
26,"Efe Abogidi",DEN,14,11,4,1,0,1,1,1,5,8,0,0,62.5,,1.38,0.00,0.40
27,"Duke Brennan",BKN,16,12,4,1,0,0,0,0,4,7,2,2,57.1,100.0,0.83,0.65,0.29
28,"Ben Humrichous",BKN,26,6,6,2,0,1,1,2,2,6,0,0,33.3,,-0.71,0.00,0.15
29,"Matthew Murrell",DEN,17,12,1,1,2,0,2,2,3,9,2,2,33.3,100.0,-1.07,0.65,0.11
30,"Graham Ike",GS,24,6,9,3,0,1,1,0,1,4,2,3,25.0,66.7,-0.81,-0.03,-0.12
31,"Malevy Leons",GS,22,10,3,1,1,1,1,0,4,9,1,1,44.4,100.0,-0.07,0.32,-0.36
32,"Jalen Celestine",TOR,10,9,1,1,0,0,1,3,3,5,0,0,60.0,,0.74,0.00,-0.64
33,"Aaron Nkrumah",DEN,11,7,3,0,1,0,0,1,3,7,0,0,42.9,,-0.17,0.00,-1.21
34,"AJ Hoggard",TOR,19,6,1,9,2,0,1,0,2,12,1,2,16.7,50.0,-3.43,-0.35,-1.46
35,"Malik Thomas",TOR,22,13,0,0,1,0,1,1,6,14,0,0,42.9,,-0.33,0.00,-2.09
36,"Brandon Angel",TOR,14,10,3,0,0,0,0,0,5,7,0,1,71.4,0.0,1.83,-0.68,-2.28
37,"Jahmai Mashack",MEM,23,5,4,2,1,0,0,1,2,8,0,1,25.0,0.0,-1.62,-0.68,-2.36
38,"Tyson Degenhart",TOR,22,7,3,3,0,0,2,1,3,7,0,0,42.9,,-0.17,0.00,-2.36
39,"Dwight Murray Jr.",BKN,30,10,3,3,1,0,4,2,4,12,0,0,33.3,,-1.43,0.00,-2.38
40,"Elijah Mahi",OKC,20,3,2,1,2,0,2,1,1,3,0,0,33.3,,-0.36,0.00,-2.42
41,"EJ Anosike",DEN,13,3,3,0,1,0,0,0,1,2,1,2,50.0,50.0,0.10,-0.35,-3.06
42,"Tyreke Key",TOR,21,7,3,2,0,0,1,1,3,7,0,1,42.9,0.0,-0.17,-0.68,-3.13
43,"Osayi Osifo",DEN,9,0,5,2,0,0,1,0,0,0,0,0,,,0.00,0.00,-3.22
44,"Nate Johnson",OKC,21,6,2,3,2,0,4,0,2,7,1,1,28.6,100.0,-1.17,0.32,-3.34
45,"Hunter Sallis",BKN,28,12,1,3,1,0,4,0,4,9,2,3,44.4,66.7,-0.07,-0.03,-3.51
46,"Chance McMillian",GS,14,2,1,0,1,0,0,0,1,4,0,0,25.0,,-0.81,0.00,-3.92
47,"Jaden Bradley",TOR,23,8,3,5,0,1,2,0,3,7,1,4,42.9,25.0,-0.17,-1.70,-3.99
48,"Lamar Wilkerson",OKC,26,6,3,5,0,0,1,0,3,16,0,0,18.8,,-4.23,0.00,-4.34
49,"Lawson Lovering",MEM,11,0,2,0,0,0,0,0,0,0,0,0,,,0.00,0.00,-4.35
50,"TJ Bamba",DEN,12,5,1,0,1,0,1,1,2,8,0,1,25.0,0.0,-1.62,-0.68,-4.96
51,"Olivier-Maxence Prosper",MEM,27,8,3,2,0,0,3,0,4,12,0,0,33.3,,-1.43,0.00,-4.96
52,"Tyler Burton",MEM,2,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00,-5.03
53,"Mark Mitchell Jr.",DEN,21,6,1,0,0,0,2,0,1,6,2,2,16.7,100.0,-1.71,0.65,-5.22
54,"Rylan Griffen",DEN,9,0,1,0,0,0,0,0,0,2,0,0,0.0,,-0.90,0.00,-5.27
55,"Lajae Jones",GS,11,4,0,0,0,0,1,0,2,5,0,0,40.0,,-0.26,0.00,-5.27
56,"Buddy Boeheim",OKC,19,3,3,2,0,0,4,1,1,4,0,0,25.0,,-0.81,0.00,-5.31
57,"Lachlan Olbrich",GS,16,2,3,0,0,0,2,0,1,1,0,1,100.0,0.0,0.55,-0.68,-5.88
